antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Other Income NEC_None'}),frozenset({'Entrep. Activities_None'}),0.9593637214276166,0.9598984093035691,0.9218018981419597,0.9608471506200363,1.000988376798286,1.0,0.0009101880000381701,1.0242317310615148,0.024298506380512435,0.9241490217099974,0.023658445961638887,0.9605795424455146
frozenset({'Entrep. Activities_None'}),frozenset({'Other Income NEC_None'}),0.9598984093035691,0.9593637214276166,0.9218018981419597,0.9603119342709929,1.000988376798286,1.0,0.0009101880000381701,1.0238916365904749,0.024622486465585958,0.9241490217099974,0.023334145662165212,0.9605795424455146
frozenset({'Other Income NEC_None'}),frozenset({'Livestocks_None'}),0.9593637214276166,0.8362518379895736,0.8029675177115358,0.8369792392364498,1.0008698351547125,1.0,0.000697842367174184,1.0044620160246414,0.021386781211392487,0.8089146242930245,0.004442194879902752,0.8985887244775599
frozenset({'Livestocks_None'}),frozenset({'Other Income NEC_None'}),0.8362518379895736,0.9593637214276166,0.8029675177115358,0.96019820971867,1.0008698351547123,1.0,0.000697842367174184,1.020966099392891,0.005307413459806791,0.8089146242930245,0.020535549030823223,0.8985887244775599
"frozenset({'Livestocks_None', 'Entrep. Activities_None'})",frozenset({'Other Income NEC_None'}),0.800427750300762,0.9593637214276166,0.7691485095575458,0.9609218436873747,1.0016241204716803,1.0,0.0012471642950716566,1.03987194910868,0.008124811860981625,0.7764134394818514,0.03834313363569052,0.8813247925417506
frozenset({'Other Income NEC_None'}),"frozenset({'Livestocks_None', 'Entrep. Activities_None'})",0.9593637214276166,0.800427750300762,0.7691485095575458,0.8017277413961265,1.0016241204716803,1.0,0.0012471642950716566,1.0065565959883562,0.03990244772514987,0.7764134394818514,0.006513887062573198,0.8813247925417506
frozenset({'NPCINC_Low Income'}),frozenset({'Entrep. Activities_None'}),0.3770886245154391,0.9598984093035691,0.36519181927549793,0.9684509039347748,1.0089097914407534,1.0,0.0032250484366571075,1.2710852511756343,0.014177150164321809,0.37579092159559835,0.21327070778683482,0.6744496547246636
frozenset({'Entrep. Activities_None'}),frozenset({'NPCINC_Low Income'}),0.9598984093035691,0.3770886245154391,0.36519181927549793,0.3804484055145523,1.0089097914407534,1.0,0.0032250484366571075,1.0054229236580425,0.22021839921913222,0.37579092159559835,0.005393674174756556,0.6744496547246636
frozenset({'NPCINC_Low Income'}),frozenset({'Logistics and Manufacturing_None'}),0.3770886245154391,0.6790536024595643,0.2646704985964443,0.7018787663948954,1.03361319909453,1.0,0.008607109672713442,1.076563362023269,0.052206615511336506,0.33440297247086637,0.07111830545614851,0.5458212729612273
frozenset({'Logistics and Manufacturing_None'}),frozenset({'NPCINC_Low Income'}),0.6790536024595643,0.3770886245154391,0.2646704985964443,0.38976377952755903,1.0336131990945299,1.0,0.008607109672713442,1.0207708991811513,0.10132562610696715,0.33440297247086637,0.02034824777804057,0.5458212729612273
