antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Entrep. Activities_None'}),frozenset({'Other Income NEC_None'}),0.9576259858307713,0.9578933297687475,0.9185937708862452,0.9592406476828588,1.0014065427456693,1.0,0.0012902266457281986,1.0330554299201815,0.03314689885899061,0.9214266559399303,0.03199773116021028,0.9591067876985324
frozenset({'Other Income NEC_None'}),frozenset({'Entrep. Activities_None'}),0.9578933297687475,0.9576259858307713,0.9185937708862452,0.958972927714206,1.0014065427456693,1.0,0.0012902266457281986,1.0328305630499752,0.03335735535968263,0.9214266559399303,0.031786978643453034,0.9591067876985324
frozenset({'Other Income NEC_None'}),frozenset({'Livestocks_None'}),0.9578933297687475,0.8450741879427884,0.8128592434166555,0.8485905665643315,1.0041610294950591,1.0,0.003368315626517515,1.023224303411961,0.09841165430706314,0.8209801539084648,0.022697177280210354,0.9052348593656836
frozenset({'Livestocks_None'}),frozenset({'Other Income NEC_None'}),0.8450741879427884,0.9578933297687475,0.8128592434166555,0.9618791521670357,1.0041610294950591,1.0,0.003368315626517515,1.1045575485559238,0.026746912085181082,0.8209801539084648,0.09466011860823394,0.9052348593656836
"frozenset({'Entrep. Activities_None', 'Livestocks_None'})",frozenset({'Other Income NEC_None'}),0.8075123646571314,0.9578933297687475,0.7775698436037963,0.9629200463499421,1.005247678864627,1.0,0.004059135792941704,1.1355642627990914,0.027120102954940942,0.7871447902571043,0.11938052934576722,0.8873349882880048
"frozenset({'Entrep. Activities_None', 'Other Income NEC_None'})",frozenset({'Livestocks_None'}),0.9185937708862452,0.8450741879427884,0.7775698436037963,0.8464784633294529,1.001661718470047,1.0,0.0012899586227987925,1.0091470904807185,0.020378805906361108,0.788531923546157,0.009064179609695105,0.8832993392256249
frozenset({'Livestocks_None'}),"frozenset({'Entrep. Activities_None', 'Other Income NEC_None'})",0.8450741879427884,0.9185937708862452,0.7775698436037963,0.9201202151217969,1.001661718470047,1.0,0.0012899586227987925,1.0191092682319958,0.010708104225171626,0.788531923546157,0.018750951274486546,0.8832993392256249
frozenset({'Other Income NEC_None'}),"frozenset({'Entrep. Activities_None', 'Livestocks_None'})",0.9578933297687475,0.8075123646571314,0.7775698436037963,0.8117499302260676,1.005247678864627,1.0,0.004059135792941704,1.022510300123793,0.12397761350830153,0.7871447902571043,0.022014741681396888,0.8873349882880048
frozenset({'Other Income NEC_None'}),frozenset({'Farming_None'}),0.9578933297687475,0.7220959764737335,0.6933565031412913,0.7238347753279375,1.0024079885650314,1.0,0.0016655838242515264,1.0062962266746973,0.057050440509085476,0.7027503048367428,0.006256832240644696,0.8420173506406441
frozenset({'Farming_None'}),frozenset({'Other Income NEC_None'}),0.7220959764737335,0.9578933297687475,0.6933565031412913,0.9601999259533506,1.0024079885650314,1.0,0.0016655838242515264,1.0579545701824449,0.008644006137740216,0.7027503048367428,0.05477982875242992,0.8420173506406441
frozenset({'Livestocks_None'}),frozenset({'Farming_None'}),0.8450741879427884,0.7220959764737335,0.6445662344606337,0.7627333122429611,1.0562769176026643,1.0,0.03434156352533846,1.171272824488705,0.3438972726742436,0.6986380759200232,0.1462279504038443,0.8276828353143721
frozenset({'Farming_None'}),frozenset({'Livestocks_None'}),0.7220959764737335,0.8450741879427884,0.6445662344606337,0.8926323583857831,1.0562769176026643,1.0,0.03434156352533846,1.442946959884582,0.191715699388864,0.6986380759200232,0.30697383354964924,0.8276828353143721
"frozenset({'Entrep. Activities_None', 'Farming_None'})",frozenset({'Other Income NEC_None'}),0.6881432963507552,0.9578933297687475,0.6620772623980751,0.962121212121212,1.0044137298184186,1.0,0.002909388898608145,1.111616094105063,0.014090876874423891,0.6728705338948512,0.10040885040884788,0.8266508935292077
frozenset({'Other Income NEC_None'}),"frozenset({'Entrep. Activities_None', 'Farming_None'})",0.9578933297687475,0.6881432963507552,0.6620772623980751,0.6911805749372034,1.0044137298184186,1.0,0.002909388898608145,1.0098351280390816,0.10436195475565387,0.6728705338948512,0.009739340379433768,0.8266508935292077
"frozenset({'Other Income NEC_None', 'Livestocks_None'})",frozenset({'Farming_None'}),0.8128592434166555,0.7220959764737335,0.620505280042775,0.7633612892616347,1.0571465762618084,1.0,0.033542890932125036,1.1743810750960582,0.2888594817504776,0.6785557667007747,0.14848764067642578,0.811336327711158
"frozenset({'Other Income NEC_None', 'Farming_None'})",frozenset({'Livestocks_None'}),0.6933565031412913,0.8450741879427884,0.620505280042775,0.8949296317717371,1.0589953456634553,1.0,0.03456759619579686,1.4744957562215726,0.18167281261609325,0.6759866025921072,0.3218020494256818,0.8145954707419267
"frozenset({'Livestocks_None', 'Farming_None'})",frozenset({'Other Income NEC_None'}),0.6445662344606337,0.9578933297687475,0.620505280042775,0.962671090833679,1.0049877798669762,1.0,0.003079583458775459,1.1279909103061079,0.013963291814245783,0.6319085216444325,0.11346803341826074,0.8052261398907441
frozenset({'Other Income NEC_None'}),"frozenset({'Livestocks_None', 'Farming_None'})",0.9578933297687475,0.6445662344606337,0.620505280042775,0.6477811889478091,1.0049877798669762,1.0,0.003079583458775459,1.0091277194354593,0.11786791407644304,0.6319085216444325,0.009045157773057394,0.8052261398907441
frozenset({'Livestocks_None'}),"frozenset({'Other Income NEC_None', 'Farming_None'})",0.8450741879427884,0.6933565031412913,0.620505280042775,0.7342613097121165,1.0589953456634553,1.0,0.03456759619579686,1.153928682821879,0.35958363428931667,0.6759866025921072,0.1333953173305768,0.8145954707419267
frozenset({'Farming_None'}),"frozenset({'Other Income NEC_None', 'Livestocks_None'})",0.7220959764737335,0.8128592434166555,0.620505280042775,0.8593113661606813,1.0571465762618084,1.0,0.033542890932125036,1.3301767987674042,0.1945181695289412,0.6785557667007747,0.2482202358914691,0.811336327711158
"frozenset({'Entrep. Activities_None', 'Livestocks_None'})",frozenset({'Farming_None'}),0.8075123646571314,0.7220959764737335,0.6136880096243817,0.7599735143188213,1.052454990858775,1.0,0.0305865801526769,1.1578056593946038,0.2589288523439577,0.670023350846468,0.1362971912549794,0.8049219663411952
"frozenset({'Entrep. Activities_None', 'Farming_None'})",frozenset({'Livestocks_None'}),0.6881432963507552,0.8450741879427884,0.6136880096243817,0.8918026418026418,1.0552950906873715,1.0,0.032155872272493724,1.4318816525503144,0.1680186816992154,0.6673935164994912,0.3016182599875436,0.8089984420655094
frozenset({'Livestocks_None'}),"frozenset({'Entrep. Activities_None', 'Farming_None'})",0.8450741879427884,0.6881432963507552,0.6136880096243817,0.726194242328377,1.0552950906873715,1.0,0.032155872272493724,1.1389705837495812,0.3382118933600256,0.6673935164994912,0.12201419925357429,0.8089984420655094
frozenset({'Farming_None'}),"frozenset({'Entrep. Activities_None', 'Livestocks_None'})",0.7220959764737335,0.8075123646571314,0.6136880096243817,0.849870418363569,1.052454990858775,1.0,0.0305865801526769,1.2821432874502787,0.17934465963217847,0.670023350846468,0.2200559720679583,0.8049219663411952
"frozenset({'Entrep. Activities_None', 'Livestocks_None', 'Other Income NEC_None'})",frozenset({'Farming_None'}),0.7775698436037963,0.7220959764737335,0.5916321347413448,0.7608733023895479,1.0537010690811195,1.0,0.03015207924773322,1.1621622608571476,0.22912466543849258,0.6515530693360814,0.13953495679471262,0.7900997389400535
"frozenset({'Entrep. Activities_None', 'Livestocks_None', 'Farming_None'})",frozenset({'Other Income NEC_None'}),0.6136880096243817,0.9578933297687475,0.5916321347413448,0.9640601176214334,1.0064378649073322,1.0,0.003784483763090596,1.1715862001920059,0.016558336473528057,0.6037375528577276,0.14645631722521604,0.7908494838735133
"frozenset({'Entrep. Activities_None', 'Other Income NEC_None', 'Farming_None'})",frozenset({'Livestocks_None'}),0.6620772623980751,0.8450741879427884,0.5916321347413448,0.8935998384817284,1.057421763948404,1.0,0.032127729864907084,1.4560674518394119,0.16069814731134258,0.6462257263834137,0.3132186295787835,0.7968473725784156
"frozenset({'Entrep. Activities_None', 'Livestocks_None'})","frozenset({'Other Income NEC_None', 'Farming_None'})",0.8075123646571314,0.6933565031412913,0.5916321347413448,0.732660155603377,1.056686065947342,1.0,0.031738185339320935,1.1470175631724213,0.2786939235326611,0.6506909732431639,0.12817376812069037,0.7929736097083784
"frozenset({'Entrep. Activities_None', 'Farming_None'})","frozenset({'Other Income NEC_None', 'Livestocks_None'})",0.6881432963507552,0.8128592434166555,0.5916321347413448,0.8597513597513599,1.0576878675053318,1.0,0.03226849550742661,1.3343498821205793,0.17489277888578442,0.6505953255916509,0.2505713730713737,0.7937960877033399
"frozenset({'Other Income NEC_None', 'Livestocks_None'})","frozenset({'Entrep. Activities_None', 'Farming_None'})",0.8128592434166555,0.6881432963507552,0.5916321347413448,0.72784081565532,1.057687867505332,1.0,0.03226849550742661,1.1458613987257151,0.29144632367181067,0.6505953255916509,0.12729410283645481,0.7937960877033399
"frozenset({'Other Income NEC_None', 'Farming_None'})","frozenset({'Entrep. Activities_None', 'Livestocks_None'})",0.6933565031412913,0.8075123646571314,0.5916321347413448,0.8532870638133797,1.056686065947342,1.0,0.031738185339320935,1.3120017930663077,0.1749430034381133,0.6506909732431639,0.23780591971381504,0.7929736097083784
frozenset({'Livestocks_None'}),"frozenset({'Entrep. Activities_None', 'Other Income NEC_None', 'Farming_None'})",0.8450741879427884,0.6620772623980751,0.5916321347413448,0.7000949066751029,1.057421763948404,1.0,0.032127729864907084,1.1267655839237183,0.3505133014694342,0.6462257263834137,0.11250395444479627,0.7968473725784156
frozenset({'Other Income NEC_None'}),"frozenset({'Entrep. Activities_None', 'Livestocks_None', 'Farming_None'})",0.9578933297687475,0.6136880096243817,0.5916321347413448,0.6176388501255932,1.0064378649073322,1.0,0.003784483763090596,1.0103327456320004,0.15191616637617814,0.6037375528577276,0.010227071899502633,0.7908494838735133
frozenset({'Farming_None'}),"frozenset({'Entrep. Activities_None', 'Livestocks_None', 'Other Income NEC_None'})",0.7220959764737335,0.7775698436037963,0.5916321347413448,0.8193261754905591,1.0537010690811195,1.0,0.03015207924773322,1.2311144516929227,0.18338789961022203,0.6515530693360814,0.1877278358442742,0.7900997389400535
frozenset({'Entrep. Activities_None'}),frozenset({'Logistics and Manufacturing_None'}),0.9576259858307713,0.6785189145836118,0.6525865525999198,0.681462869905081,1.0043387962489974,1.0,0.0028192081169636785,1.0092421103957079,0.10195051156828117,0.6634955150856211,0.009157475991646966,0.8216218998855587
frozenset({'Logistics and Manufacturing_None'}),frozenset({'Entrep. Activities_None'}),0.6785189145836118,0.9576259858307713,0.6525865525999198,0.9617809298660364,1.0043387962489976,1.0,0.0028192081169636785,1.1087138965103378,0.013437967637066577,0.6634955150856211,0.09805405781646037,0.8216218998855587
frozenset({'Other Income NEC_None'}),frozenset({'Logistics and Manufacturing_None'}),0.9578933297687475,0.6785189145836118,0.6523192086619436,0.6809935807982138,1.003647158776879,1.0,0.0023704662603712956,1.0077574182387743,0.08630236794171198,0.662863352349905,0.007697703929911721,0.8211902498159707
frozenset({'Logistics and Manufacturing_None'}),frozenset({'Other Income NEC_None'}),0.6785189145836118,0.9578933297687475,0.6523192086619436,0.9613869188337274,1.003647158776879,1.0,0.0023704662603712956,1.0904768270093768,0.01130363654953815,0.662863352349905,0.08296996760353796,0.8211902498159707
"frozenset({'Entrep. Activities_None', 'Other Income NEC_None'})",frozenset({'Logistics and Manufacturing_None'}),0.9185937708862452,0.6785189145836118,0.6279909103061088,0.6836437718277065,1.0075530057216455,1.0,0.004707661941106722,1.016199640745823,0.09208614083762665,0.6479999999999999,0.015941395859905467,0.8045878433606617
"frozenset({'Entrep. Activities_None', 'Logistics and Manufacturing_None'})",frozenset({'Other Income NEC_None'}),0.6525865525999198,0.9578933297687475,0.6279909103061088,0.9623105284719377,1.0046113680572935,1.0,0.0028826044738636813,1.1171998047226857,0.013212502237900717,0.6391836734693878,0.10490496348750912,0.808953198927568
"frozenset({'Other Income NEC_None', 'Logistics and Manufacturing_None'})",frozenset({'Entrep. Activities_None'}),0.6523192086619436,0.9576259858307713,0.6279909103061088,0.9627049180327868,1.0053036699892905,1.0,0.003313085034866381,1.1361823579441515,0.015173945770930574,0.6395317179417368,0.1198595955939367,0.8092419062525742
frozenset({'Entrep. Activities_None'}),"frozenset({'Other Income NEC_None', 'Logistics and Manufacturing_None'})",0.9576259858307713,0.6523192086619436,0.6279909103061088,0.6557788944723617,1.0053036699892905,1.0,0.003313085034866381,1.010050766076981,0.12450294306053764,0.6395317179417368,0.009950753382444404,0.8092419062525742
frozenset({'Other Income NEC_None'}),"frozenset({'Entrep. Activities_None', 'Logistics and Manufacturing_None'})",0.9578933297687475,0.6525865525999198,0.6279909103061088,0.6555958693831984,1.0046113680572935,1.0,0.0028826044738636813,1.008737748812388,0.1090136295755682,0.6391836734693878,0.008662061891383894,0.808953198927568
frozenset({'Logistics and Manufacturing_None'}),"frozenset({'Entrep. Activities_None', 'Other Income NEC_None'})",0.6785189145836118,0.9185937708862452,0.6279909103061088,0.925531914893617,1.0075530057216455,1.0,0.004707661941106722,1.093169362384707,0.023318278490692148,0.6479999999999999,0.08522866226461162,0.8045878433606617
"frozenset({'Livestocks_None', 'Logistics and Manufacturing_None'})",frozenset({'Other Income NEC_None'}),0.5689079000133672,0.9578933297687475,0.5495254645100922,0.9659304511278195,1.008390413743681,1.0,0.004572381834542227,1.2359033689945536,0.019301213043469913,0.5623033784707974,0.19087525361021426,0.7698058619021737
frozenset({'Other Income NEC_None'}),"frozenset({'Livestocks_None', 'Logistics and Manufacturing_None'})",0.9578933297687475,0.5689079000133672,0.5495254645100922,0.573681272676528,1.008390413743681,1.0,0.004572381834542227,1.011196722914635,0.19760765734981117,0.5623033784707974,0.011072744462978592,0.7698058619021737
"frozenset({'Livestocks_None', 'Logistics and Manufacturing_None'})",frozenset({'Entrep. Activities_None'}),0.5689079000133672,0.9576259858307713,0.5460499933164016,0.9598214285714286,1.0022925889367473,1.0,0.0012490047191869857,1.0546421304341373,0.0053059311339465265,0.5569188820722563,0.051811063542136604,0.7650168002711972
frozenset({'Entrep. Activities_None'}),"frozenset({'Livestocks_None', 'Logistics and Manufacturing_None'})",0.9576259858307713,0.5689079000133672,0.5460499933164016,0.570212171970966,1.0022925889367473,1.0,0.0012490047191869857,1.0030346879844876,0.05397989876018155,0.5569188820722563,0.003025506516215882,0.7650168002711972
"frozenset({'Entrep. Activities_None', 'Livestocks_None', 'Other Income NEC_None'})",frozenset({'Logistics and Manufacturing_None'}),0.7775698436037963,0.6785189145836118,0.5276032615960433,0.678528451091628,1.0000140548889813,1.0,7.415301046642675e-06,1.0000296651695881,6.318698719558111e-05,0.568240714080046,2.966428959205948e-05,0.7280546116766257
"frozenset({'Entrep. Activities_None', 'Livestocks_None', 'Logistics and Manufacturing_None'})",frozenset({'Other Income NEC_None'}),0.5460499933164016,0.9578933297687475,0.5276032615960433,0.9662178702570379,1.0086904671215322,1.0,0.00454561527799302,1.2464184630048258,0.018979168326617044,0.5403888280394304,0.1977012298187305,0.7585066465435343
"frozenset({'Other Income NEC_None', 'Livestocks_None', 'Logistics and Manufacturing_None'})",frozenset({'Entrep. Activities_None'}),0.5495254645100922,0.9576259858307713,0.5276032615960433,0.9601070299197276,1.0025908278656452,1.0,0.0013633969054537287,1.0621925137176798,0.005736468143554981,0.5386189956331877,0.058551075171868486,0.7555281101580771
"frozenset({'Entrep. Activities_None', 'Livestocks_None'})","frozenset({'Other Income NEC_None', 'Logistics and Manufacturing_None'})",0.8075123646571314,0.6523192086619436,0.5276032615960433,0.6533686475749049,1.0016087812516112,1.0,0.0008474348981685198,1.0030275360425975,0.008344417701207571,0.5659592773157442,0.0030183977346648614,0.7310900614923705
"frozenset({'Entrep. Activities_None', 'Other Income NEC_None'})","frozenset({'Livestocks_None', 'Logistics and Manufacturing_None'})",0.9185937708862452,0.5689079000133672,0.5276032615960433,0.5743597206053551,1.0095829581411329,1.0,0.005008008435789413,1.0128085166181677,0.1166003736703438,0.5496448962540037,0.012646533286406659,0.7508781685733543
"frozenset({'Livestocks_None', 'Logistics and Manufacturing_None'})","frozenset({'Entrep. Activities_None', 'Other Income NEC_None'})",0.5689079000133672,0.9185937708862452,0.5276032615960433,0.9273966165413534,1.0095829581411329,1.0,0.005008008435789413,1.1212456670166366,0.022018489167516087,0.5496448962540037,0.10813479202933468,0.7508781685733543
"frozenset({'Other Income NEC_None', 'Logistics and Manufacturing_None'})","frozenset({'Entrep. Activities_None', 'Livestocks_None'})",0.6523192086619436,0.8075123646571314,0.5276032615960433,0.8088114754098361,1.0016087812516112,1.0,0.0008474348981685198,1.006794920121328,0.0046197468241979634,0.5659592773157442,0.006749060792350028,0.7310900614923705
frozenset({'Entrep. Activities_None'}),"frozenset({'Other Income NEC_None', 'Livestocks_None', 'Logistics and Manufacturing_None'})",0.9576259858307713,0.5495254645100922,0.5276032615960433,0.5509491903964265,1.002590827865645,1.0,0.0013633969054537287,1.0031705229249919,0.060983904239054545,0.5386189956331877,0.003160502479426437,0.7555281101580771
frozenset({'Other Income NEC_None'}),"frozenset({'Entrep. Activities_None', 'Livestocks_None', 'Logistics and Manufacturing_None'})",0.9578933297687475,0.5460499933164016,0.5276032615960433,0.5507954228300307,1.0086904671215322,1.0,0.00454561527799302,1.0105640720393496,0.20461350995933816,0.5403888280394304,0.010453639043421482,0.7585066465435343
frozenset({'Logistics and Manufacturing_None'}),"frozenset({'Entrep. Activities_None', 'Livestocks_None', 'Other Income NEC_None'})",0.6785189145836118,0.7775698436037963,0.5276032615960433,0.7775807722616234,1.0000140548889813,1.0,7.415301046642675e-06,1.0000491354004695,4.3718564113699353e-05,0.568240714080046,4.9132986300515635e-05,0.7280546116766257
"frozenset({'Farming_None', 'Logistics and Manufacturing_None'})",frozenset({'Other Income NEC_None'}),0.4719957224969924,0.9578933297687475,0.45408367865258653,0.9620504106485414,1.0043398160845294,1.0,0.0019621243933367616,1.109542183481731,0.008183766018415197,0.46534246575342464,0.09872737162456398,0.7180472538869276
