antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Processed Foods_High'}),frozenset({'Non-Processed Foods_High'}),0.340003475424737,0.340003475424737,0.18360267875045114,0.5400023588614562,1.5882259973574617,1.0,0.06800031544955139,1.4347824109308482,0.5611645986169994,0.36986522693307117,0.303030206962722,0.5400023588614562
frozenset({'Non-Processed Foods_High'}),frozenset({'Processed Foods_High'}),0.340003475424737,0.340003475424737,0.18360267875045114,0.5400023588614562,1.5882259973574617,1.0,0.06800031544955139,1.4347824109308482,0.5611645986169994,0.36986522693307117,0.303030206962722,0.5400023588614562
frozenset({'Non-Processed Foods_High'}),frozenset({'Miscellaneous Expenditures_High'}),0.340003475424737,0.340003475424737,0.1814639558353718,0.5337120616449127,1.5697253123021528,1.0,0.06586159253447206,1.4154269718052688,0.5499208740242683,0.3639885780167039,0.29349940341706454,0.5337120616449127
frozenset({'Miscellaneous Expenditures_High'}),frozenset({'Non-Processed Foods_High'}),0.340003475424737,0.340003475424737,0.1814639558353718,0.5337120616449127,1.5697253123021528,1.0,0.06586159253447206,1.4154269718052688,0.5499208740242683,0.3639885780167039,0.29349940341706454,0.5337120616449127
"frozenset({'Processed Foods_High', 'Non-Processed Foods_High'})",frozenset({'Miscellaneous Expenditures_High'}),0.18360267875045114,0.340003475424737,0.11024448276323001,0.6004513850970115,1.7660154336567275,1.0,0.04781893389078511,1.6518553686777564,0.5313020041789123,0.2667022377441469,0.39462012294668397,0.4623482747155131
"frozenset({'Processed Foods_High', 'Miscellaneous Expenditures_High'})",frozenset({'Non-Processed Foods_High'}),0.16283701594685274,0.340003475424737,0.11024448276323001,0.6770234772615334,1.9912251673774404,1.0,0.05487933141350676,2.043481423910498,0.5946233101583395,0.2808089749919136,0.5106390553400015,0.5006343207977741
"frozenset({'Non-Processed Foods_High', 'Miscellaneous Expenditures_High'})",frozenset({'Processed Foods_High'}),0.1814639558353718,0.340003475424737,0.11024448276323001,0.6075282678354389,1.7868295818932622,1.0,0.04854610711488261,1.681640919551705,0.5379720804125063,0.2680893251852815,0.40534272901340795,0.46588671608472687
frozenset({'Processed Foods_High'}),"frozenset({'Non-Processed Foods_High', 'Miscellaneous Expenditures_High'})",0.340003475424737,0.1814639558353718,0.11024448276323001,0.3242451643340148,1.786829581893262,1.0,0.04854610711488261,1.2112914343527057,0.6671997839007601,0.2680893251852815,0.17443484562046493,0.46588671608472687
frozenset({'Non-Processed Foods_High'}),"frozenset({'Processed Foods_High', 'Miscellaneous Expenditures_High'})",0.340003475424737,0.16283701594685274,0.11024448276323001,0.3242451643340148,1.9912251673774406,1.0,0.05487933141350676,1.2388560760029004,0.7542412818614003,0.2808089749919136,0.1928037329191266,0.5006343207977741
frozenset({'Miscellaneous Expenditures_High'}),"frozenset({'Processed Foods_High', 'Non-Processed Foods_High'})",0.340003475424737,0.18360267875045114,0.11024448276323001,0.3242451643340148,1.7660154336567275,1.0,0.04781893389078511,1.2081264952324824,0.6572057834172995,0.2667022377441469,0.17227210565598283,0.4623482747155131
"frozenset({'Processed Foods_High', 'Other Expenditure NEC_Low'})",frozenset({'Non-Processed Foods_High'}),0.12927911670743608,0.340003475424737,0.06597291842108781,0.5103138086129348,1.5009076244748494,1.0,0.022017569440719358,1.3477948453187618,0.38328755454998814,0.16357881479517433,0.2580473182003497,0.3521749102822498
"frozenset({'Non-Processed Foods_High', 'Other Expenditure NEC_Low'})",frozenset({'Processed Foods_High'}),0.12812286963147132,0.340003475424737,0.06597291842108781,0.5149191444966092,1.5144525915606162,1.0,0.022410697464997062,1.3605907491243996,0.389613853313577,0.16404912665569793,0.26502513658604215,0.354477578224087
frozenset({'Processed Foods_High'}),"frozenset({'Non-Processed Foods_High', 'Other Expenditure NEC_Low'})",0.340003475424737,0.12812286963147132,0.06597291842108781,0.1940360119515647,1.5144525915606162,1.0,0.022410697464997062,1.0817817462039412,0.5146927229616481,0.16404912665569793,0.07559911829804841,0.354477578224087
frozenset({'Non-Processed Foods_High'}),"frozenset({'Processed Foods_High', 'Other Expenditure NEC_Low'})",0.340003475424737,0.12927911670743608,0.06597291842108781,0.1940360119515647,1.5009076244748494,1.0,0.022017569440719358,1.0803471323835836,0.5056639931060041,0.16357881479517433,0.0743715885155475,0.3521749102822498
