support,itemsets
0.9598984093035691,frozenset({'Entrep. Activities_None'})
0.9593637214276166,frozenset({'Other Income NEC_None'})
0.8362518379895736,frozenset({'Livestocks_None'})
0.3770886245154391,frozenset({'NPCINC_Low Income'})
0.3296350755246625,frozenset({'Passive Income_Medium'})
0.32869937174174574,frozenset({'Salaries/Wages_Medium'})
0.32428819676513837,frozenset({'Cash Receipts_Medium'})
0.3208127255714477,frozenset({'Logistics and Manufacturing_High'})
0.2805774629060286,frozenset({'Farming_High'})
0.6790536024595643,frozenset({'Logistics and Manufacturing_None'})
0.3400614891057345,frozenset({'Passive Income_High'})
0.3397941451677583,frozenset({'Cash Receipts_High'})
0.1213741478411977,frozenset({'Salaries/Wages_Low'})
0.24796150247293142,frozenset({'Passive Income_Low'})
0.7192888651249832,frozenset({'Farming_None'})
0.24355032749632402,frozenset({'Cash Receipts_None'})
0.2087956155594172,frozenset({'NPCINC_High Income'})
0.4141157599251437,frozenset({'NPCINC_Middle Income'})
0.3399278171367464,frozenset({'Salaries/Wages_High'})
0.1634808180724502,frozenset({'Livestocks_High'})
0.2099986632803101,frozenset({'Salaries/Wages_None'})
0.9218018981419597,"frozenset({'Entrep. Activities_None', 'Other Income NEC_None'})"
0.8029675177115358,"frozenset({'Other Income NEC_None', 'Livestocks_None'})"
0.800427750300762,"frozenset({'Entrep. Activities_None', 'Livestocks_None'})"
0.7691485095575458,"frozenset({'Entrep. Activities_None', 'Livestocks_None', 'Other Income NEC_None'})"
0.36519181927549793,"frozenset({'NPCINC_Low Income', 'Entrep. Activities_None'})"
0.36171634808180725,"frozenset({'NPCINC_Low Income', 'Other Income NEC_None'})"
0.2873947333244219,"frozenset({'NPCINC_Low Income', 'Livestocks_None'})"
0.2646704985964443,"frozenset({'NPCINC_Low Income', 'Logistics and Manufacturing_None'})"
0.2339259457291806,"frozenset({'NPCINC_Low Income', 'Farming_None'})"
0.3506215746557947,"frozenset({'NPCINC_Low Income', 'Entrep. Activities_None', 'Other Income NEC_None'})"
0.27736933565031413,"frozenset({'NPCINC_Low Income', 'Livestocks_None', 'Entrep. Activities_None'})"
0.2752305841465045,"frozenset({'NPCINC_Low Income', 'Livestocks_None', 'Other Income NEC_None'})"
0.26587354631733723,"frozenset({'NPCINC_Low Income', 'Livestocks_None', 'Entrep. Activities_None', 'Other Income NEC_None'})"
0.2561154925812057,"frozenset({'NPCINC_Low Income', 'Entrep. Activities_None', 'Logistics and Manufacturing_None'})"
0.255179788798289,"frozenset({'NPCINC_Low Income', 'Other Income NEC_None', 'Logistics and Manufacturing_None'})"
0.1964977944125117,"frozenset({'NPCINC_Low Income', 'Livestocks_None', 'Logistics and Manufacturing_None'})"
0.2470257986900147,"frozenset({'NPCINC_Low Income', 'Entrep. Activities_None', 'Other Income NEC_None', 'Logistics and Manufacturing_None'})"
0.18941318005614222,"frozenset({'NPCINC_Low Income', 'Livestocks_None', 'Entrep. Activities_None', 'Logistics and Manufacturing_None'})"
0.18914583611816602,"frozenset({'NPCINC_Low Income', 'Livestocks_None', 'Other Income NEC_None', 'Logistics and Manufacturing_None'})"
0.18232856569977277,"frozenset({'Other Income NEC_None', 'Logistics and Manufacturing_None', 'NPCINC_Low Income', 'Livestocks_None', 'Entrep. Activities_None'})"
0.2255046116829301,"frozenset({'NPCINC_Low Income', 'Other Income NEC_None', 'Farming_None'})"
0.22483625183798958,"frozenset({'NPCINC_Low Income', 'Entrep. Activities_None', 'Farming_None'})"
0.18620505280042776,"frozenset({'NPCINC_Low Income', 'Livestocks_None', 'Farming_None'})"
0.1546584681192354,"frozenset({'NPCINC_Low Income', 'Farming_None', 'Logistics and Manufacturing_None'})"
0.21694960566769148,"frozenset({'NPCINC_Low Income', 'Entrep. Activities_None', 'Other Income NEC_None', 'Farming_None'})"
0.1792541104130464,"frozenset({'NPCINC_Low Income', 'Livestocks_None', 'Other Income NEC_None', 'Farming_None'})"
0.17805106269215346,"frozenset({'NPCINC_Low Income', 'Livestocks_None', 'Entrep. Activities_None', 'Farming_None'})"
0.1716348081807245,"frozenset({'Other Income NEC_None', 'NPCINC_Low Income', 'Livestocks_None', 'Farming_None', 'Entrep. Activities_None'})"
0.14957893329768748,"frozenset({'NPCINC_Low Income', 'Other Income NEC_None', 'Farming_None', 'Logistics and Manufacturing_None'})"
0.14810854163881834,"frozenset({'NPCINC_Low Income', 'Entrep. Activities_None', 'Farming_None', 'Logistics and Manufacturing_None'})"
0.11963641224435236,"frozenset({'NPCINC_Low Income', 'Livestocks_None', 'Farming_None', 'Logistics and Manufacturing_None'})"
0.14329635075524663,"frozenset({'Other Income NEC_None', 'Logistics and Manufacturing_None', 'NPCINC_Low Income', 'Farming_None', 'Entrep. Activities_None'})"
0.11575992514369737,"frozenset({'Other Income NEC_None', 'Logistics and Manufacturing_None', 'NPCINC_Low Income', 'Livestocks_None', 'Farming_None'})"
0.11375484560887582,"frozenset({'Logistics and Manufacturing_None', 'NPCINC_Low Income', 'Livestocks_None', 'Farming_None', 'Entrep. Activities_None'})"
0.11014570244619704,"frozenset({'Other Income NEC_None', 'Logistics and Manufacturing_None', 'NPCINC_Low Income', 'Livestocks_None', 'Farming_None', 'Entrep. Activities_None'})"
0.3185403020986499,"frozenset({'Entrep. Activities_None', 'Passive Income_Medium'})"
0.3166688945328165,"frozenset({'Other Income NEC_None', 'Passive Income_Medium'})"
0.26186338724769415,"frozenset({'Livestocks_None', 'Passive Income_Medium'})"
0.16054003475471193,"frozenset({'NPCINC_Low Income', 'Passive Income_Medium'})"
0.12618633872476942,"frozenset({'NPCINC_Middle Income', 'Passive Income_Medium'})"
0.22657398743483492,"frozenset({'Passive Income_Medium', 'Logistics and Manufacturing_None'})"
0.21628124582275096,"frozenset({'Passive Income_Medium', 'Farming_None'})"
0.10172436839994653,"frozenset({'Cash Receipts_High', 'Passive Income_Medium'})"
0.30610880898275633,"frozenset({'Entrep. Activities_None', 'Other Income NEC_None', 'Passive Income_Medium'})"
0.2522390054805507,"frozenset({'Entrep. Activities_None', 'Livestocks_None', 'Passive Income_Medium'})"
0.2507686138216816,"frozenset({'Other Income NEC_None', 'Livestocks_None', 'Passive Income_Medium'})"
0.24154524796150248,"frozenset({'Entrep. Activities_None', 'Livestocks_None', 'Other Income NEC_None', 'Passive Income_Medium'})"
0.1555941719021521,"frozenset({'NPCINC_Low Income', 'Other Income NEC_None', 'Passive Income_Medium'})"
0.15546049993316402,"frozenset({'NPCINC_Low Income', 'Entrep. Activities_None', 'Passive Income_Medium'})"
0.11963641224435236,"frozenset({'NPCINC_Low Income', 'Livestocks_None', 'Passive Income_Medium'})"
0.11428953348482823,"frozenset({'NPCINC_Low Income', 'Passive Income_Medium', 'Logistics and Manufacturing_None'})"
0.1505146370806042,"frozenset({'NPCINC_Low Income', 'Entrep. Activities_None', 'Other Income NEC_None', 'Passive Income_Medium'})"
0.11562625317470926,"frozenset({'NPCINC_Low Income', 'Livestocks_None', 'Other Income NEC_None', 'Passive Income_Medium'})"
