support,itemsets
0.9578933297687475,frozenset({'Other Income NEC_None'})
0.9576259858307713,frozenset({'Entrep. Activities_None'})
0.8450741879427884,frozenset({'Livestocks_None'})
0.7220959764737335,frozenset({'Farming_None'})
0.6785189145836118,frozenset({'Logistics and Manufacturing_None'})
0.48776901483758855,frozenset({'Region_Luzon'})
0.3304371073385911,frozenset({'Salaries/Wages_Medium'})
0.32950140355567437,frozenset({'Passive Income_Medium'})
0.24502071915519316,frozenset({'Cash Receipts_None'})
0.32348616495120974,frozenset({'Cash Receipts_Medium'})
0.25063494185269347,frozenset({'Passive Income_Low'})
0.18700708461435636,frozenset({'Region_Visayas'})
0.3395268012297821,frozenset({'Salaries/Wages_High'})
0.33792273760192487,frozenset({'Cash Receipts_High'})
0.3400614891057345,frozenset({'Passive Income_High'})
0.25598182061221764,frozenset({'Region_Mindanao'})
0.27790402352626653,frozenset({'Farming_High'})
0.11228445395000668,frozenset({'Salaries/Wages_Low'})
0.3214810854163882,frozenset({'Logistics and Manufacturing_High'})
0.2177516374816201,frozenset({'Salaries/Wages_None'})
0.1546584681192354,frozenset({'Livestocks_High'})
0.9185937708862452,"frozenset({'Entrep. Activities_None', 'Other Income NEC_None'})"
0.8128592434166555,"frozenset({'Other Income NEC_None', 'Livestocks_None'})"
0.8075123646571314,"frozenset({'Entrep. Activities_None', 'Livestocks_None'})"
0.7775698436037963,"frozenset({'Entrep. Activities_None', 'Livestocks_None', 'Other Income NEC_None'})"
0.6933565031412913,"frozenset({'Other Income NEC_None', 'Farming_None'})"
0.6881432963507552,"frozenset({'Entrep. Activities_None', 'Farming_None'})"
0.6445662344606337,"frozenset({'Livestocks_None', 'Farming_None'})"
0.6620772623980751,"frozenset({'Entrep. Activities_None', 'Other Income NEC_None', 'Farming_None'})"
0.620505280042775,"frozenset({'Other Income NEC_None', 'Livestocks_None', 'Farming_None'})"
0.6136880096243817,"frozenset({'Entrep. Activities_None', 'Livestocks_None', 'Farming_None'})"
0.5916321347413448,"frozenset({'Entrep. Activities_None', 'Livestocks_None', 'Other Income NEC_None', 'Farming_None'})"
0.6525865525999198,"frozenset({'Entrep. Activities_None', 'Logistics and Manufacturing_None'})"
0.6523192086619436,"frozenset({'Other Income NEC_None', 'Logistics and Manufacturing_None'})"
0.5689079000133672,"frozenset({'Livestocks_None', 'Logistics and Manufacturing_None'})"
0.4719957224969924,"frozenset({'Farming_None', 'Logistics and Manufacturing_None'})"
0.6279909103061088,"frozenset({'Entrep. Activities_None', 'Other Income NEC_None', 'Logistics and Manufacturing_None'})"
0.5495254645100922,"frozenset({'Other Income NEC_None', 'Livestocks_None', 'Logistics and Manufacturing_None'})"
0.5460499933164016,"frozenset({'Entrep. Activities_None', 'Livestocks_None', 'Logistics and Manufacturing_None'})"
0.5276032615960433,"frozenset({'Entrep. Activities_None', 'Livestocks_None', 'Other Income NEC_None', 'Logistics and Manufacturing_None'})"
0.45408367865258653,"frozenset({'Other Income NEC_None', 'Farming_None', 'Logistics and Manufacturing_None'})"
0.4516775832108007,"frozenset({'Entrep. Activities_None', 'Farming_None', 'Logistics and Manufacturing_None'})"
0.4199973265606202,"frozenset({'Livestocks_None', 'Farming_None', 'Logistics and Manufacturing_None'})"
0.4351022590562759,"frozenset({'Entrep. Activities_None', 'Other Income NEC_None', 'Farming_None', 'Logistics and Manufacturing_None'})"
0.405427081940917,"frozenset({'Other Income NEC_None', 'Livestocks_None', 'Farming_None', 'Logistics and Manufacturing_None'})"
0.4018179387782382,"frozenset({'Entrep. Activities_None', 'Livestocks_None', 'Farming_None', 'Logistics and Manufacturing_None'})"
0.38791605400347545,"frozenset({'Other Income NEC_None', 'Logistics and Manufacturing_None', 'Livestocks_None', 'Farming_None', 'Entrep. Activities_None'})"
0.4670498596444326,"frozenset({'Entrep. Activities_None', 'Region_Luzon'})"
