support,itemsets
0.9574527810081405,frozenset({'Other Income NEC_Low'})
0.9556682840758712,frozenset({'Entrep. Activities_Low'})
0.8448222854927752,frozenset({'Livestocks_Low'})
0.7226276884415394,frozenset({'Farming_Low'})
0.6773602812420634,frozenset({'Logistics and Manufacturing_Low'})
0.3397896031332291,frozenset({'Cash Receipts_High'})
0.3299113766692064,frozenset({'Passive Income_Medium'})
0.32983785806900057,frozenset({'Salaries/Wages_Medium'})
0.3398564382243253,frozenset({'Passive Income_High'})
0.33015866650626247,frozenset({'Salaries/Wages_Low'})
0.3226397187579367,frozenset({'Logistics and Manufacturing_High'})
0.27737231155846065,frozenset({'Farming_High'})
0.340003475424737,frozenset({'Salaries/Wages_High'})
0.3302321851064683,frozenset({'Passive Income_Low'})
0.15517771450722487,frozenset({'Livestocks_High'})
0.32036064215155524,frozenset({'Cash Receipts_Medium'})
0.33984975471521567,frozenset({'Cash Receipts_Low'})
0.07911938083971609,frozenset({'Region_Central Luzon'})
0.05584740212000909,frozenset({'Region_Bicol'})
0.0668150405689003,frozenset({'Region_Western Visayas'})
0.05648901899453289,frozenset({'Region_Central Visayas'})
0.06359358917806204,frozenset({'Region_Eastern Visayas'})
0.05929609282057451,frozenset({'Region_Northern Mindanao'})
0.058260148908582964,frozenset({'Region_Davao'})
0.11248345831495368,frozenset({'Region_National Capital Region'})
0.05547312560987021,frozenset({'Region_Cordillera Administrative Region'})
0.06928793893946078,frozenset({'Region_Unknown'})
0.05075456817847643,frozenset({'Region_Caraga'})
0.057311090615016505,frozenset({'Region_MIMAROPA'})
0.9157008996003262,"frozenset({'Entrep. Activities_Low', 'Other Income NEC_Low'})"
0.8109235272887677,"frozenset({'Other Income NEC_Low', 'Livestocks_Low'})"
0.8050955073451765,"frozenset({'Entrep. Activities_Low', 'Livestocks_Low'})"
0.7734023071473446,"frozenset({'Entrep. Activities_Low', 'Other Income NEC_Low', 'Livestocks_Low'})"
0.6940957880525591,"frozenset({'Other Income NEC_Low', 'Farming_Low'})"
0.6860555265936827,"frozenset({'Entrep. Activities_Low', 'Farming_Low'})"
0.6425926668538049,"frozenset({'Livestocks_Low', 'Farming_Low'})"
0.6595554129740279,"frozenset({'Entrep. Activities_Low', 'Other Income NEC_Low', 'Farming_Low'})"
0.6182981112403256,"frozenset({'Livestocks_Low', 'Other Income NEC_Low', 'Farming_Low'})"
0.6086939086497974,"frozenset({'Livestocks_Low', 'Entrep. Activities_Low', 'Farming_Low'})"
0.5862506850596837,"frozenset({'Livestocks_Low', 'Other Income NEC_Low', 'Entrep. Activities_Low', 'Farming_Low'})"
0.6515218350242611,"frozenset({'Entrep. Activities_Low', 'Logistics and Manufacturing_Low'})"
0.651080723423026,"frozenset({'Other Income NEC_Low', 'Logistics and Manufacturing_Low'})"
0.5656855275293741,"frozenset({'Livestocks_Low', 'Logistics and Manufacturing_Low'})"
0.471588402774993,"frozenset({'Farming_Low', 'Logistics and Manufacturing_Low'})"
0.6266859151729024,"frozenset({'Entrep. Activities_Low', 'Other Income NEC_Low', 'Logistics and Manufacturing_Low'})"
0.5450334843806393,"frozenset({'Other Income NEC_Low', 'Livestocks_Low', 'Logistics and Manufacturing_Low'})"
0.542627421101175,"frozenset({'Entrep. Activities_Low', 'Livestocks_Low', 'Logistics and Manufacturing_Low'})"
