support,itemsets
0.340003475424737,frozenset({'Non-Processed Foods_High'})
0.340003475424737,frozenset({'Other Foods_High'})
0.3333132828060045,frozenset({'Other Expenditure NEC_High'})
0.33018540054270096,frozenset({'Non-Essential Expenditures_Low'})
0.3300049457967411,frozenset({'Essential Expenditures_Medium'})
0.32999157877852187,frozenset({'Processed Foods_Medium'})
0.329971528251193,frozenset({'Non-Alcoholic Beverages_Medium'})
0.3299581612329738,frozenset({'Fruits and Vegetables and Juices_Medium'})
0.3299381107056449,frozenset({'Miscellaneous Expenditures_Medium'})
0.3296507198139311,frozenset({'Services and Primary Goods_Medium'})
0.340003475424737,frozenset({'Miscellaneous Expenditures_High'})
0.340003475424737,frozenset({'Processed Foods_High'})
0.340003475424737,frozenset({'Fruits and Vegetables and Juices_High'})
0.33999679191562737,frozenset({'Essential Expenditures_High'})
0.33990322278809265,frozenset({'Non-Alcoholic Beverages_High'})
0.3396759834783655,frozenset({'Services and Primary Goods_High'})
0.3298244910507813,frozenset({'Non-Essential Expenditures_Medium'})
0.24415527128363476,frozenset({'Other Expenditure NEC_Medium'})
0.3300584138696181,frozenset({'Miscellaneous Expenditures_Low'})
0.3300049457967411,frozenset({'Processed Foods_Low'})
0.3299113766692064,frozenset({'Other Foods_Medium'})
0.4225314459103608,frozenset({'Other Expenditure NEC_Low'})
0.3301252489607143,frozenset({'Non-Alcoholic Beverages_Low'})
0.33003836334228925,frozenset({'Fruits and Vegetables and Juices_Low'})
0.3399901084065178,frozenset({'Non-Essential Expenditures_High'})
0.3300851479060566,frozenset({'Other Foods_Low'})
0.3299982622876315,frozenset({'Essential Expenditures_Low'})
0.3299982622876315,frozenset({'Non-Processed Foods_Medium'})
0.3299982622876315,frozenset({'Non-Processed Foods_Low'})
0.3306732967077034,frozenset({'Services and Primary Goods_Low'})
0.07911938083971609,frozenset({'Region_Central Luzon'})
0.05584740212000909,frozenset({'Region_Bicol'})
0.0668150405689003,frozenset({'Region_Western Visayas'})
0.05648901899453289,frozenset({'Region_Central Visayas'})
0.06359358917806204,frozenset({'Region_Eastern Visayas'})
0.05929609282057451,frozenset({'Region_Northern Mindanao'})
0.058260148908582964,frozenset({'Region_Davao'})
0.11248345831495368,frozenset({'Region_National Capital Region'})
0.05547312560987021,frozenset({'Region_Cordillera Administrative Region'})
0.06928793893946078,frozenset({'Region_Unknown'})
0.05075456817847643,frozenset({'Region_Caraga'})
0.057311090615016505,frozenset({'Region_MIMAROPA'})
0.18360267875045114,"frozenset({'Processed Foods_High', 'Non-Processed Foods_High'})"
0.1814639558353718,"frozenset({'Non-Processed Foods_High', 'Miscellaneous Expenditures_High'})"
0.12812286963147132,"frozenset({'Non-Processed Foods_High', 'Other Expenditure NEC_Low'})"
0.11024448276323001,"frozenset({'Processed Foods_High', 'Non-Processed Foods_High', 'Miscellaneous Expenditures_High'})"
0.06597291842108781,"frozenset({'Processed Foods_High', 'Non-Processed Foods_High', 'Other Expenditure NEC_Low'})"
0.05378888131424523,"frozenset({'Non-Processed Foods_High', 'Miscellaneous Expenditures_High', 'Other Expenditure NEC_Low'})"
0.18133028565317935,"frozenset({'Non-Processed Foods_High', 'Other Foods_High'})"
0.17418561441499245,"frozenset({'Miscellaneous Expenditures_High', 'Other Foods_High'})"
0.14328106829209608,"frozenset({'Processed Foods_High', 'Other Foods_High'})"
0.1266658646455735,"frozenset({'Other Foods_High', 'Other Expenditure NEC_Low'})"
0.1137132239911243,"frozenset({'Non-Processed Foods_High', 'Miscellaneous Expenditures_High', 'Other Foods_High'})"
0.10251166272339629,"frozenset({'Processed Foods_High', 'Non-Processed Foods_High', 'Other Foods_High'})"
0.09052144738073278,"frozenset({'Processed Foods_High', 'Miscellaneous Expenditures_High', 'Other Foods_High'})"
0.07061795725227574,"frozenset({'Processed Foods_High', 'Non-Processed Foods_High', 'Miscellaneous Expenditures_High', 'Other Foods_High'})"
0.06388098006977584,"frozenset({'Non-Processed Foods_High', 'Other Foods_High', 'Other Expenditure NEC_Low'})"
0.1515084680060419,"frozenset({'Other Foods_High', 'Other Expenditure NEC_High'})"
0.14531953857053106,"frozenset({'Non-Processed Foods_High', 'Other Expenditure NEC_High'})"
0.1583323308069669,"frozenset({'Essential Expenditures_High', 'Other Expenditure NEC_High'})"
0.13110371469436313,"frozenset({'Services and Primary Goods_High', 'Other Expenditure NEC_High'})"
0.14961703492801862,"frozenset({'Fruits and Vegetables and Juices_High', 'Other Expenditure NEC_High'})"
0.1324069989707396,"frozenset({'Non-Alcoholic Beverages_High', 'Other Expenditure NEC_High'})"
0.16806352007057784,"frozenset({'Miscellaneous Expenditures_High', 'Other Expenditure NEC_High'})"
0.12877117001510474,"frozenset({'Processed Foods_High', 'Other Expenditure NEC_High'})"
0.11831147825854486,"frozenset({'Non-Essential Expenditures_High', 'Other Expenditure NEC_High'})"
0.10135541564743153,"frozenset({'Other Foods_High', 'Essential Expenditures_High', 'Other Expenditure NEC_High'})"
0.09680394594377832,"frozenset({'Miscellaneous Expenditures_High', 'Other Foods_High', 'Other Expenditure NEC_High'})"
0.07385277566133322,"frozenset({'Miscellaneous Expenditures_High', 'Essential Expenditures_High', 'Other Expenditure NEC_High', 'Other Foods_High'})"
0.08795497988263758,"frozenset({'Non-Processed Foods_High', 'Other Foods_High', 'Other Expenditure NEC_High'})"
0.09858175936693801,"frozenset({'Non-Processed Foods_High', 'Essential Expenditures_High', 'Other Expenditure NEC_High'})"
0.09613559503281603,"frozenset({'Fruits and Vegetables and Juices_High', 'Non-Processed Foods_High', 'Other Expenditure NEC_High'})"
0.09640293539720095,"frozenset({'Non-Processed Foods_High', 'Miscellaneous Expenditures_High', 'Other Expenditure NEC_High'})"
0.06846586731897715,"frozenset({'Non-Processed Foods_High', 'Essential Expenditures_High', 'Other Expenditure NEC_High', 'Other Foods_High'})"
0.061962812955314056,"frozenset({'Fruits and Vegetables and Juices_High', 'Non-Processed Foods_High', 'Other Foods_High', 'Other Expenditure NEC_High'})"
0.06476320327224606,"frozenset({'Non-Processed Foods_High', 'Miscellaneous Expenditures_High', 'Other Expenditure NEC_High', 'Other Foods_High'})"
0.05038697517744717,"frozenset({'Fruits and Vegetables and Juices_High', 'Non-Processed Foods_High', 'Essential Expenditures_High', 'Other Foods_High', 'Other Expenditure NEC_High'})"
