support,itemsets
0.9611245628194781,frozenset({'Entrep. Activities_None'})
0.9552058111380145,frozenset({'Other Income NEC_None'})
0.8488027979553403,frozenset({'Livestocks_None'})
0.7153618509550713,frozenset({'Farming_None'})
0.6802528921172989,frozenset({'Logistics and Manufacturing_None'})
0.34005918751681463,frozenset({'Fruits and Vegetables and Juices_High'})
0.33494753833736884,frozenset({'Other Expenditure NEC_High'})
0.3305084745762712,frozenset({'Services and Primary Goods_Medium'})
0.3301049233252623,frozenset({'Miscellaneous Expenditures_Medium'})
0.3299704062415927,frozenset({'Essential Expenditures_Medium'})
0.3299704062415927,frozenset({'Processed Foods_Low'})
0.3299704062415927,frozenset({'Passive Income_Medium'})
0.32983588915792306,frozenset({'Other Foods_Medium'})
0.32983588915792306,frozenset({'Salaries/Wages_Medium'})
0.3295668549905838,frozenset({'Non-Processed Foods_Low'})
0.3249932741458165,frozenset({'Non-Alcoholic Beverages_Low'})
0.3084476728544525,frozenset({'Non-Essential Expenditures_None'})
0.41754102771051926,frozenset({'Other Expenditure NEC_None'})
0.34005918751681463,frozenset({'Essential Expenditures_High'})
0.34005918751681463,frozenset({'Passive Income_High'})
0.34005918751681463,frozenset({'Other Foods_High'})
0.33965563626580575,frozenset({'Salaries/Wages_High'})
0.3299704062415927,frozenset({'Non-Processed Foods_Medium'})
0.3299704062415927,frozenset({'Non-Alcoholic Beverages_Medium'})
0.3299704062415927,frozenset({'Miscellaneous Expenditures_Low'})
0.32835620123755715,frozenset({'Non-Essential Expenditures_Medium'})
0.32082324455205813,frozenset({'Cash Receipts_Medium'})
0.339924670433145,frozenset({'Non-Essential Expenditures_High'})
0.32970137207425343,frozenset({'Fruits and Vegetables and Juices_Low'})
0.3197471078827011,frozenset({'Logistics and Manufacturing_High'})
0.34005918751681463,frozenset({'Processed Foods_High'})
0.34005918751681463,frozenset({'Non-Processed Foods_High'})
0.339924670433145,frozenset({'Miscellaneous Expenditures_High'})
0.3395211191821361,frozenset({'Services and Primary Goods_High'})
0.3299704062415927,frozenset({'Fruits and Vegetables and Juices_Medium'})
0.339924670433145,frozenset({'Cash Receipts_High'})
0.3299704062415927,frozenset({'Processed Foods_Medium'})
0.339924670433145,frozenset({'Non-Alcoholic Beverages_High'})
0.32983588915792306,frozenset({'Other Foods_Low'})
0.3299704062415927,frozenset({'Essential Expenditures_Low'})
0.9195587839655637,"frozenset({'Other Income NEC_None', 'Entrep. Activities_None'})"
0.8145009416195856,"frozenset({'Livestocks_None', 'Entrep. Activities_None'})"
0.8123486682808717,"frozenset({'Other Income NEC_None', 'Livestocks_None'})"
0.7810061877858488,"frozenset({'Other Income NEC_None', 'Livestocks_None', 'Entrep. Activities_None'})"
0.6875168146354587,"frozenset({'Farming_None', 'Other Income NEC_None'})"
0.6830777508743611,"frozenset({'Farming_None', 'Entrep. Activities_None'})"
0.6408393866020985,"frozenset({'Farming_None', 'Livestocks_None'})"
0.657923056228141,"frozenset({'Farming_None', 'Other Income NEC_None', 'Entrep. Activities_None'})"
0.6167608286252354,"frozenset({'Farming_None', 'Other Income NEC_None', 'Livestocks_None'})"
0.6113801452784504,"frozenset({'Farming_None', 'Livestocks_None', 'Entrep. Activities_None'})"
0.5898574118913102,"frozenset({'Livestocks_None', 'Farming_None', 'Other Income NEC_None', 'Entrep. Activities_None'})"
0.6576540220608017,"frozenset({'Logistics and Manufacturing_None', 'Entrep. Activities_None'})"
0.6532149582997041,"frozenset({'Logistics and Manufacturing_None', 'Other Income NEC_None'})"
0.5742534301856336,"frozenset({'Logistics and Manufacturing_None', 'Livestocks_None'})"
0.46879203658864677,"frozenset({'Farming_None', 'Logistics and Manufacturing_None'})"
0.6326338444982513,"frozenset({'Logistics and Manufacturing_None', 'Other Income NEC_None', 'Entrep. Activities_None'})"
0.5544794188861986,"frozenset({'Logistics and Manufacturing_None', 'Livestocks_None', 'Entrep. Activities_None'})"
0.5529997309658327,"frozenset({'Other Income NEC_None', 'Logistics and Manufacturing_None', 'Livestocks_None'})"
0.5351089588377724,"frozenset({'Other Income NEC_None', 'Logistics and Manufacturing_None', 'Livestocks_None', 'Entrep. Activities_None'})"
0.45278450363196127,"frozenset({'Farming_None', 'Logistics and Manufacturing_None', 'Other Income NEC_None'})"
0.44982512779122946,"frozenset({'Farming_None', 'Logistics and Manufacturing_None', 'Entrep. Activities_None'})"
0.4184826472962066,"frozenset({'Farming_None', 'Logistics and Manufacturing_None', 'Livestocks_None'})"
0.43570083400591875,"frozenset({'Farming_None', 'Logistics and Manufacturing_None', 'Other Income NEC_None', 'Entrep. Activities_None'})"
0.4052999730965833,"frozenset({'Farming_None', 'Other Income NEC_None', 'Logistics and Manufacturing_None', 'Livestocks_None'})"
0.4012644605864945,"frozenset({'Farming_None', 'Logistics and Manufacturing_None', 'Livestocks_None', 'Entrep. Activities_None'})"
0.3898305084745763,"frozenset({'Livestocks_None', 'Logistics and Manufacturing_None', 'Entrep. Activities_None', 'Farming_None', 'Other Income NEC_None'})"
0.32741458165186976,"frozenset({'Fruits and Vegetables and Juices_High', 'Entrep. Activities_None'})"
0.32566585956416466,"frozenset({'Other Income NEC_None', 'Fruits and Vegetables and Juices_High'})"
0.3140973903685768,"frozenset({'Other Income NEC_None', 'Fruits and Vegetables and Juices_High', 'Entrep. Activities_None'})"
0.3196125907990315,"frozenset({'Other Expenditure NEC_High', 'Entrep. Activities_None'})"
0.3188054882970137,"frozenset({'Other Income NEC_None', 'Other Expenditure NEC_High'})"
0.304681194511703,"frozenset({'Other Expenditure NEC_High', 'Other Income NEC_None', 'Entrep. Activities_None'})"
0.31799838579499595,"frozenset({'Services and Primary Goods_Medium', 'Entrep. Activities_None'})"
0.3139628732849072,"frozenset({'Services and Primary Goods_Medium', 'Other Income NEC_None'})"
0.3021253699219801,"frozenset({'Services and Primary Goods_Medium', 'Other Income NEC_None', 'Entrep. Activities_None'})"
0.31692224912563893,"frozenset({'Miscellaneous Expenditures_Medium', 'Entrep. Activities_None'})"
0.3139628732849072,"frozenset({'Miscellaneous Expenditures_Medium', 'Other Income NEC_None'})"
0.30199085283831045,"frozenset({'Miscellaneous Expenditures_Medium', 'Other Income NEC_None', 'Entrep. Activities_None'})"
0.31759483454398707,"frozenset({'Essential Expenditures_Medium', 'Entrep. Activities_None'})"
0.31436642453591607,"frozenset({'Other Income NEC_None', 'Essential Expenditures_Medium'})"
0.3033360236750067,"frozenset({'Essential Expenditures_Medium', 'Other Income NEC_None', 'Entrep. Activities_None'})"
0.3178638687113263,"frozenset({'Processed Foods_Low', 'Other Income NEC_None'})"
0.31692224912563893,"frozenset({'Processed Foods_Low', 'Entrep. Activities_None'})"
0.3058918482647296,"frozenset({'Processed Foods_Low', 'Other Income NEC_None', 'Entrep. Activities_None'})"
0.3178638687113263,"frozenset({'Entrep. Activities_None', 'Passive Income_Medium'})"
0.3146354587032553,"frozenset({'Other Income NEC_None', 'Passive Income_Medium'})"
0.3037395749260156,"frozenset({'Other Income NEC_None', 'Entrep. Activities_None', 'Passive Income_Medium'})"
0.3171912832929782,"frozenset({'Other Foods_Medium', 'Entrep. Activities_None'})"
0.3135593220338983,"frozenset({'Other Income NEC_None', 'Other Foods_Medium'})"
0.30158730158730157,"frozenset({'Other Foods_Medium', 'Other Income NEC_None', 'Entrep. Activities_None'})"
0.3163841807909605,"frozenset({'Salaries/Wages_Medium', 'Entrep. Activities_None'})"
0.3120796341135324,"frozenset({'Salaries/Wages_Medium', 'Other Income NEC_None'})"
0.3192090395480226,"frozenset({'Non-Processed Foods_Low', 'Entrep. Activities_None'})"
0.3159806295399516,"frozenset({'Non-Processed Foods_Low', 'Other Income NEC_None'})"
0.30616088243206885,"frozenset({'Non-Processed Foods_Low', 'Other Income NEC_None', 'Entrep. Activities_None'})"
0.3135593220338983,"frozenset({'Non-Alcoholic Beverages_Low', 'Entrep. Activities_None'})"
0.31275221953188054,"frozenset({'Non-Alcoholic Beverages_Low', 'Other Income NEC_None'})"
0.30199085283831045,"frozenset({'Non-Alcoholic Beverages_Low', 'Other Income NEC_None', 'Entrep. Activities_None'})"
0.4020715630885122,"frozenset({'Other Expenditure NEC_None', 'Other Income NEC_None'})"
0.4019370460048426,"frozenset({'Other Expenditure NEC_None', 'Entrep. Activities_None'})"
0.3658864675813828,"frozenset({'Other Expenditure NEC_None', 'Livestocks_None'})"
0.322302932472424,"frozenset({'Farming_None', 'Other Expenditure NEC_None'})"
0.38767823513586225,"frozenset({'Other Expenditure NEC_None', 'Other Income NEC_None', 'Entrep. Activities_None'})"
0.35337637880010764,"frozenset({'Other Income NEC_None', 'Other Expenditure NEC_None', 'Livestocks_None'})"
0.3512241054613936,"frozenset({'Other Expenditure NEC_None', 'Livestocks_None', 'Entrep. Activities_None'})"
0.339924670433145,"frozenset({'Livestocks_None', 'Other Expenditure NEC_None', 'Other Income NEC_None', 'Entrep. Activities_None'})"
0.3120796341135324,"frozenset({'Farming_None', 'Other Expenditure NEC_None', 'Other Income NEC_None'})"
0.30804412160344363,"frozenset({'Farming_None', 'Other Expenditure NEC_None', 'Entrep. Activities_None'})"
0.32728006456820014,"frozenset({'Other Income NEC_None', 'Essential Expenditures_High'})"
0.32149582997040627,"frozenset({'Entrep. Activities_None', 'Essential Expenditures_High'})"
0.31423190745224644,"frozenset({'Livestocks_None', 'Essential Expenditures_High'})"
0.31019639494215767,"frozenset({'Other Income NEC_None', 'Entrep. Activities_None', 'Essential Expenditures_High'})"
0.30252892117298896,"frozenset({'Other Income NEC_None', 'Livestocks_None', 'Essential Expenditures_High'})"
0.3264729620661824,"frozenset({'Passive Income_High', 'Entrep. Activities_None'})"
0.3206887274683885,"frozenset({'Passive Income_High', 'Other Income NEC_None'})"
0.30804412160344363,"frozenset({'Passive Income_High', 'Other Income NEC_None', 'Entrep. Activities_None'})"
