support,itemsets
0.9574527810081405,frozenset({'Other Income NEC_Low'})
0.9556682840758712,frozenset({'Entrep. Activities_Low'})
0.8448222854927752,frozenset({'Livestocks_Low'})
0.7226276884415394,frozenset({'Farming_Low'})
0.6773602812420634,frozenset({'Logistics and Manufacturing_Low'})
0.5461028458381789,frozenset({'Urban / Rural_Rural'})
0.340003475424737,frozenset({'Non-Processed Foods_High'})
0.340003475424737,frozenset({'Other Foods_High'})
0.3397896031332291,frozenset({'Cash Receipts_High'})
0.3333132828060045,frozenset({'Other Expenditure NEC_High'})
0.33018540054270096,frozenset({'Non-Essential Expenditures_Low'})
0.3300049457967411,frozenset({'Essential Expenditures_Medium'})
0.32999157877852187,frozenset({'Processed Foods_Medium'})
0.329971528251193,frozenset({'Non-Alcoholic Beverages_Medium'})
0.3299581612329738,frozenset({'Fruits and Vegetables and Juices_Medium'})
0.3299381107056449,frozenset({'Miscellaneous Expenditures_Medium'})
0.3299113766692064,frozenset({'Passive Income_Medium'})
0.32983785806900057,frozenset({'Salaries/Wages_Medium'})
0.3296507198139311,frozenset({'Services and Primary Goods_Medium'})
0.340003475424737,frozenset({'Miscellaneous Expenditures_High'})
0.340003475424737,frozenset({'Fruits and Vegetables and Juices_High'})
0.340003475424737,frozenset({'Processed Foods_High'})
0.33999679191562737,frozenset({'Essential Expenditures_High'})
0.33990322278809265,frozenset({'Non-Alcoholic Beverages_High'})
0.3398564382243253,frozenset({'Passive Income_High'})
0.3396759834783655,frozenset({'Services and Primary Goods_High'})
0.3298244910507813,frozenset({'Non-Essential Expenditures_Medium'})
0.33015866650626247,frozenset({'Salaries/Wages_Low'})
0.3300584138696181,frozenset({'Miscellaneous Expenditures_Low'})
0.3300049457967411,frozenset({'Processed Foods_Low'})
0.3299113766692064,frozenset({'Other Foods_Medium'})
0.3226397187579367,frozenset({'Logistics and Manufacturing_High'})
0.340003475424737,frozenset({'Salaries/Wages_High'})
0.3302321851064683,frozenset({'Passive Income_Low'})
0.4225314459103608,frozenset({'Other Expenditure NEC_Low'})
0.3301252489607143,frozenset({'Non-Alcoholic Beverages_Low'})
0.33003836334228925,frozenset({'Fruits and Vegetables and Juices_Low'})
0.3399901084065178,frozenset({'Non-Essential Expenditures_High'})
0.3300851479060566,frozenset({'Other Foods_Low'})
0.3299982622876315,frozenset({'Non-Processed Foods_Medium'})
0.3299982622876315,frozenset({'Essential Expenditures_Low'})
0.3299982622876315,frozenset({'Non-Processed Foods_Low'})
0.32036064215155524,frozenset({'Cash Receipts_Medium'})
0.3306732967077034,frozenset({'Services and Primary Goods_Low'})
0.33984975471521567,frozenset({'Cash Receipts_Low'})
0.45389715416182114,frozenset({'Urban / Rural_Urban'})
0.9157008996003262,"frozenset({'Entrep. Activities_Low', 'Other Income NEC_Low'})"
0.8109235272887677,"frozenset({'Other Income NEC_Low', 'Livestocks_Low'})"
0.8050955073451765,"frozenset({'Entrep. Activities_Low', 'Livestocks_Low'})"
0.7734023071473446,"frozenset({'Entrep. Activities_Low', 'Other Income NEC_Low', 'Livestocks_Low'})"
0.6940957880525591,"frozenset({'Other Income NEC_Low', 'Farming_Low'})"
0.6860555265936827,"frozenset({'Entrep. Activities_Low', 'Farming_Low'})"
0.6425926668538049,"frozenset({'Farming_Low', 'Livestocks_Low'})"
