antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'NPCINC_Medium'}),frozenset({'Family Size_Small'}),0.4141703760142225,0.3852909331515419,0.1715188942802529,0.41412641804773354,1.0748408083738896,1.0,0.011942803622008141,1.0492179299160496,0.11885651544685037,0.2731443046597271,0.04690915825274519,0.42964681990368914
frozenset({'Family Size_Small'}),frozenset({'NPCINC_Medium'}),0.3852909331515419,0.4141703760142225,0.1715188942802529,0.44516722175964474,1.0748408083738896,1.0,0.011942803622008141,1.055867005269098,0.11327255690154582,0.2731443046597271,0.05291102476950662,0.42964681990368914
frozenset({'Family Size_Medium'}),"frozenset({'Hhld, Food_High'})",0.49951878734410715,0.340003475424737,0.20583203004905695,0.4120606376858133,1.211930663858837,1.0,0.035993906312110385,1.122558833239966,0.3494042998534674,0.32481490075305336,0.10917809348685321,0.5087213866208591
"frozenset({'Hhld, Food_High'})",frozenset({'Family Size_Medium'}),0.340003475424737,0.49951878734410715,0.20583203004905695,0.6053821355559049,1.2119306638588367,1.0,0.035993906312110385,1.2682680074834658,0.26495637656635135,0.32481490075305336,0.2115231212177077,0.5087213866208591
frozenset({'NPCINC_Medium'}),"frozenset({'Hhld, Food_High'})",0.4141703760142225,0.340003475424737,0.16541016695405755,0.3993771079087931,1.174626545831291,1.0,0.024590799691251747,1.0988534291081267,0.2537693241693611,0.28094492121872583,0.08996052293194368,0.4429363130360131
"frozenset({'Hhld, Food_High'})",frozenset({'NPCINC_Medium'}),0.340003475424737,0.4141703760142225,0.16541016695405755,0.48649551816323316,1.174626545831291,1.0,0.024590799691251747,1.1408461750719467,0.22525207667257727,0.28094492121872583,0.12345763885570685,0.4429363130360131
"frozenset({'NPCINC_Medium', 'Family Size_Medium'})","frozenset({'Hhld, Food_High'})",0.2106241060806566,0.340003475424737,0.12002245659060834,0.5698419749952403,1.6759886771256847,1.0,0.04840952851495661,1.5343117789513752,0.5109571509606075,0.27872974483143975,0.3482419846353198,0.4614227959580699
"frozenset({'NPCINC_Medium', 'Hhld, Food_High'})",frozenset({'Family Size_Medium'}),0.16541016695405755,0.49951878734410715,0.12002245659060834,0.7256050749525234,1.452608176782489,1.0,0.03739697057933121,1.8239448581977165,0.37333681772434896,0.22026248006868637,0.45173781131293417,0.48294061799647203
"frozenset({'Family Size_Medium', 'Hhld, Food_High'})",frozenset({'NPCINC_Medium'}),0.20583203004905695,0.4141703760142225,0.12002245659060834,0.5831087443582168,1.4078958277262037,1.0,0.03477292730941968,1.4052336575971642,0.36480969704024785,0.24005453962143086,0.2883745741545083,0.43644940033834934
frozenset({'NPCINC_Medium'}),"frozenset({'Family Size_Medium', 'Hhld, Food_High'})",0.4141703760142225,0.20583203004905695,0.12002245659060834,0.2897900563184818,1.4078958277262035,1.0,0.03477292730941968,1.1182157853693393,0.49454681814435847,0.24005453962143086,0.10571822265082167,0.43644940033834934
frozenset({'Family Size_Medium'}),"frozenset({'NPCINC_Medium', 'Hhld, Food_High'})",0.49951878734410715,0.16541016695405755,0.12002245659060834,0.24027616104042068,1.4526081767824892,1.0,0.03739697057933121,1.0985436947574136,0.622567050461288,0.22026248006868637,0.08970393733785385,0.48294061799647203
"frozenset({'Hhld, Food_High'})","frozenset({'NPCINC_Medium', 'Family Size_Medium'})",0.340003475424737,0.2106241060806566,0.12002245659060834,0.3530036169208995,1.6759886771256844,1.0,0.04840952851495661,1.2200622979724383,0.6111202752977763,0.27872974483143975,0.18036972238069243,0.4614227959580699
frozenset({'Total Non-Food Expenditure_Medium'}),frozenset({'NPCINC_Medium'}),0.3299982622876315,0.4141703760142225,0.15147505046049378,0.45901772151898734,1.1082823593912106,1.0,0.014799546084785398,1.0828998421735525,0.1458247902653969,0.2555705908885882,0.07655356381543042,0.41237448712106156
frozenset({'NPCINC_Medium'}),frozenset({'Total Non-Food Expenditure_Medium'}),0.4141703760142225,0.3299982622876315,0.15147505046049378,0.3657312527231358,1.1082823593912106,1.0,0.014799546084785398,1.0563373027425966,0.1667769243464028,0.2555705908885882,0.053332683221852216,0.41237448712106156
frozenset({'Total Non-Food Expenditure_Medium'}),frozenset({'Family Size_Medium'}),0.3299982622876315,0.49951878734410715,0.17283554557484862,0.5237468354430379,1.0485027764976547,1.0,0.007995213771268328,1.0508722039074934,0.0690432277286703,0.2631953915362224,0.04840950566427917,0.43487546484551043
