antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'NPCINC_Medium'}),frozenset({'Family Size_Small'}),0.4141703760142225,0.3852909331515419,0.1715188942802529,0.41412641804773354,1.0748408083738896,1.0,0.011942803622008141,1.0492179299160496,0.11885651544685037,0.2731443046597271,0.04690915825274519,0.42964681990368914
frozenset({'Family Size_Small'}),frozenset({'NPCINC_Medium'}),0.3852909331515419,0.4141703760142225,0.1715188942802529,0.44516722175964474,1.0748408083738896,1.0,0.011942803622008141,1.055867005269098,0.11327255690154582,0.2731443046597271,0.05291102476950662,0.42964681990368914
frozenset({'Family Size_Medium'}),frozenset({'Fish and Marine Products (Total)_High'}),0.49951878734410715,0.3399834248974081,0.19618104289476146,0.3927400687726622,1.155174164420438,1.0,0.026352934772911812,1.0868765435727452,0.26840102427057,0.3049503921874189,0.07993230149872171,0.4848856332776008
frozenset({'Fish and Marine Products (Total)_High'}),frozenset({'Family Size_Medium'}),0.3399834248974081,0.49951878734410715,0.19618104289476146,0.5770311977825394,1.1551741644204379,1.0,0.026352934772911812,1.1832579850619358,0.20352469191268208,0.3049503921874189,0.15487576452090746,0.4848856332776008
frozenset({'Cereal and Cereal Preparations (Total)_High'}),frozenset({'Fish and Marine Products (Total)_High'}),0.3399901084065178,0.3399834248974081,0.1764780580395931,0.5190682130921958,1.5267456442878868,1.0,0.060887056552304114,1.3723704547504127,0.5227376956214349,0.35050574773674564,0.27133377395401165,0.5190733151014066
frozenset({'Fish and Marine Products (Total)_High'}),frozenset({'Cereal and Cereal Preparations (Total)_High'}),0.3399834248974081,0.3399901084065178,0.1764780580395931,0.5190784171106174,1.5267456442878866,1.0,0.060887056552304114,1.37238567591027,0.5227324022359618,0.35050574773674564,0.2713418556072262,0.5190733151014066
frozenset({'NPCINC_Medium'}),frozenset({'Fish and Marine Products (Total)_High'}),0.4141703760142225,0.3399834248974081,0.15773749849621044,0.38085171618067093,1.1202067168291956,1.0,0.01692643556784773,1.0660072753996173,0.18317206185874194,0.2644754978316169,0.061920098411028995,0.4224040766517383
frozenset({'Fish and Marine Products (Total)_High'}),frozenset({'NPCINC_Medium'}),0.3399834248974081,0.4141703760142225,0.15773749849621044,0.4639564371228056,1.1202067168291956,1.0,0.01692643556784773,1.092876893887799,0.1625832201361407,0.2644754978316169,0.08498385720042005,0.4224040766517383
"frozenset({'Cereal and Cereal Preparations (Total)_High', 'Family Size_Medium'})",frozenset({'Fish and Marine Products (Total)_High'}),0.21618478565986285,0.3399834248974081,0.1093422090334309,0.5057812403388363,1.4876644074382703,1.0,0.035842965194078646,1.3354745488720403,0.41821768884734817,0.2447086979283524,0.25120250262753907,0.4136958256973428
"frozenset({'Cereal and Cereal Preparations (Total)_High', 'Fish and Marine Products (Total)_High'})",frozenset({'Family Size_Medium'}),0.1764780580395931,0.49951878734410715,0.1093422090334309,0.6195796250710093,1.240352997262133,1.0,0.021188103488650398,1.3156004400377153,0.23530386826445468,0.19296093602566525,0.23989079847728523,0.4192373566557096
"frozenset({'Family Size_Medium', 'Fish and Marine Products (Total)_High'})",frozenset({'Cereal and Cereal Preparations (Total)_High'}),0.19618104289476146,0.3399901084065178,0.1093422090334309,0.5573535924777706,1.6393229646885983,1.0,0.042642594992337246,1.4910544406944881,0.48517402035668983,0.25617337112255917,0.3293336764187965,0.43947884066585596
frozenset({'Cereal and Cereal Preparations (Total)_High'}),"frozenset({'Family Size_Medium', 'Fish and Marine Products (Total)_High'})",0.3399901084065178,0.19618104289476146,0.1093422090334309,0.32160408885394137,1.639322964688598,1.0,0.042642594992337246,1.1848817834814105,0.590888227623529,0.25617337112255917,0.1560339487524168,0.43947884066585596
frozenset({'Family Size_Medium'}),"frozenset({'Cereal and Cereal Preparations (Total)_High', 'Fish and Marine Products (Total)_High'})",0.49951878734410715,0.1764780580395931,0.1093422090334309,0.21889508824040996,1.240352997262133,1.0,0.021188103488650398,1.0543038835913403,0.38718316221226867,0.19296093602566525,0.051506861007057626,0.4192373566557096
frozenset({'Fish and Marine Products (Total)_High'}),"frozenset({'Cereal and Cereal Preparations (Total)_High', 'Family Size_Medium'})",0.3399834248974081,0.21618478565986285,0.1093422090334309,0.3216104110558493,1.48766440743827,1.0,0.035842965194078646,1.1554057242536275,0.49666235635638006,0.2447086979283524,0.13450316282102295,0.4136958256973428
