antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'NPCINC_Medium'}),frozenset({'Family Size_Small'}),0.4141703760142225,0.3852909331515419,0.1715188942802529,0.41412641804773354,1.0748408083738896,1.0,0.011942803622008141,1.0492179299160496,0.11885651544685037,0.2731443046597271,0.04690915825274519,0.42964681990368914
frozenset({'Family Size_Small'}),frozenset({'NPCINC_Medium'}),0.3852909331515419,0.4141703760142225,0.1715188942802529,0.44516722175964474,1.0748408083738896,1.0,0.011942803622008141,1.055867005269098,0.11327255690154582,0.2731443046597271,0.05291102476950662,0.42964681990368914
frozenset({'Family Size_Medium'}),frozenset({'Total Food Consumed at Home (Total)_High'}),0.49951878734410715,0.340003475424737,0.20620630655919583,0.4128099118264895,1.2141343888052958,1.0,0.03636818282224927,1.1239912557587974,0.35239673725712134,0.32559783870491144,0.11031336331446087,0.5096464246976449
frozenset({'Total Food Consumed at Home (Total)_High'}),frozenset({'Family Size_Medium'}),0.340003475424737,0.49951878734410715,0.20620630655919583,0.6064829375688001,1.214134388805296,1.0,0.03636818282224927,1.2718157875133913,0.26722556836481026,0.32559783870491144,0.2137226084013596,0.5096464246976449
frozenset({'NPCINC_Medium'}),frozenset({'Total Food Consumed at Home (Total)_High'}),0.4141703760142225,0.340003475424737,0.1631444573658954,0.3939066307347222,1.1585370715480148,1.0,0.022325090103089584,1.088935398477182,0.23358748326499695,0.2760344223179654,0.08167187750674028,0.43686918264208985
frozenset({'Total Food Consumed at Home (Total)_High'}),frozenset({'NPCINC_Medium'}),0.340003475424737,0.4141703760142225,0.1631444573658954,0.47983173454945743,1.1585370715480146,1.0,0.022325090103089584,1.1262309965763913,0.2073381637531825,0.2760344223179654,0.11208268726408588,0.43686918264208985
"frozenset({'NPCINC_Medium', 'Family Size_Medium'})",frozenset({'Total Food Consumed at Home (Total)_High'}),0.2106241060806566,0.340003475424737,0.11617275534346554,0.5515643840832646,1.622231606292385,1.0,0.04455982726781381,1.471775436984492,0.48590945414102504,0.2673989292966587,0.32054851924360717,0.4466227330071929
"frozenset({'NPCINC_Medium', 'Total Food Consumed at Home (Total)_High'})",frozenset({'Family Size_Medium'}),0.1631444573658954,0.49951878734410715,0.11617275534346554,0.7120852109791069,1.425542400047043,1.0,0.03467903383814108,1.7382963006446137,0.35670746873089226,0.21257964704587426,0.4247240820628973,0.47232727614342895
"frozenset({'Family Size_Medium', 'Total Food Consumed at Home (Total)_High'})",frozenset({'NPCINC_Medium'}),0.20620630655919583,0.4141703760142225,0.11617275534346554,0.5633811946974363,1.3602643436721555,1.0,0.030768211819339364,1.3417416219162048,0.3336493803622334,0.23040827147401907,0.2547000229657834,0.42193814047512007
frozenset({'NPCINC_Medium'}),"frozenset({'Family Size_Medium', 'Total Food Consumed at Home (Total)_High'})",0.4141703760142225,0.20620630655919583,0.11617275534346554,0.28049508625280384,1.3602643436721555,1.0,0.030768211819339364,1.1032498573313565,0.4520918081097293,0.23040827147401907,0.09358701172289921,0.42193814047512007
frozenset({'Family Size_Medium'}),"frozenset({'NPCINC_Medium', 'Total Food Consumed at Home (Total)_High'})",0.49951878734410715,0.1631444573658954,0.11617275534346554,0.23256934130775098,1.425542400047043,1.0,0.03467903383814108,1.0904640479964145,0.5964512048760398,0.21257964704587426,0.08295922104229879,0.47232727614342895
frozenset({'Total Food Consumed at Home (Total)_High'}),"frozenset({'NPCINC_Medium', 'Family Size_Medium'})",0.340003475424737,0.2106241060806566,0.11617275534346554,0.34168108193112123,1.622231606292385,1.0,0.04455982726781381,1.1990782465053698,0.5811624689588676,0.2673989292966587,0.16602606801146594,0.4466227330071929
frozenset({'Food Regularly Consumed Outside The Home (Total)_High'}),frozenset({'Total Food Consumed at Home (Total)_High'}),0.334863856919437,0.340003475424737,0.16839769552605902,0.5028840588387922,1.4790556426241892,1.0,0.05454282037931857,1.32765109691229,0.48695732107251094,0.33249317093126063,0.2467900622944583,0.4990831679631923
frozenset({'Total Food Consumed at Home (Total)_High'}),frozenset({'Food Regularly Consumed Outside The Home (Total)_High'}),0.340003475424737,0.334863856919437,0.16839769552605902,0.4952822770875924,1.4790556426241892,1.0,0.05454282037931857,1.317837898068017,0.49074942416015405,0.33249317093126063,0.24118133082526708,0.4990831679631923
frozenset({'Family Size_Medium'}),frozenset({'Food Regularly Consumed Outside The Home (Total)_High'}),0.49951878734410715,0.334863856919437,0.18262020291133657,0.36559226106851844,1.0917638721352787,1.0,0.015349415177568798,1.0484363639712793,0.1679404192015169,0.28019442564449637,0.046198668451188876,0.4554744132718198
