antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Necessities Total_Low'}),frozenset({'Non-Necessities Total_Low'}),0.33002499632407,0.3300049457967411,0.19120851211720202,0.5793758480325645,1.755658075468413,1.0,0.08229863109370762,1.5928592095090381,0.6424314442835994,0.40784934279930435,0.3721981239583461,0.5793934489676756
frozenset({'Non-Necessities Total_Low'}),frozenset({'Necessities Total_Low'}),0.3300049457967411,0.33002499632407,0.19120851211720202,0.5794110499027868,1.755658075468413,1.0,0.08229863109370762,1.5929448539270343,0.6424122186353655,0.40784934279930435,0.3722318776229239,0.5793934489676756
frozenset({'NPCINC_Low'}),frozenset({'Non-Necessities Total_Low'}),0.37697664781917095,0.3300049457967411,0.1777612917886407,0.4715445713069995,1.4289015280317539,1.0,0.05335713355843802,1.2678364490650051,0.4817824409282402,0.33589280527385923,0.21125473184063087,0.5051035397040506
frozenset({'Non-Necessities Total_Low'}),frozenset({'NPCINC_Low'}),0.3300049457967411,0.37697664781917095,0.1777612917886407,0.5386625081011017,1.4289015280317539,1.0,0.05335713355843802,1.3504719714333646,0.4480058613655277,0.33589280527385923,0.25951813798947676,0.5051035397040506
"frozenset({'NPCINC_Medium', 'Necessities Total_Low'})",frozenset({'Non-Necessities Total_Low'}),0.09588830519575998,0.3300049457967411,0.05422330940637072,0.5654840733254338,1.7135624193757708,1.0,0.022579694447702574,1.5419343988858123,0.4605851732560706,0.14589102679374213,0.3514639788031249,0.3648973347832613
"frozenset({'NPCINC_Medium', 'Non-Necessities Total_Low'})",frozenset({'Necessities Total_Low'}),0.11637994412586385,0.33002499632407,0.05422330940637072,0.4659162694538563,1.4117605473627428,1.0,0.01581501877403703,1.2544381439794592,0.33007917627280353,0.1382607065560081,0.20283036290040085,0.3151084415375156
frozenset({'Necessities Total_Low'}),"frozenset({'NPCINC_Medium', 'Non-Necessities Total_Low'})",0.33002499632407,0.11637994412586385,0.05422330940637072,0.16430061362117498,1.411760547362743,1.0,0.01581501877403703,1.0573419943539226,0.4353365104381462,0.1382607065560081,0.05423221120519362,0.3151084415375156
frozenset({'Non-Necessities Total_Low'}),"frozenset({'NPCINC_Medium', 'Necessities Total_Low'})",0.3300049457967411,0.09588830519575998,0.05422330940637072,0.1643105962410888,1.713562419375771,1.0,0.022579694447702574,1.0818752645870189,0.6215276351397058,0.14589102679374213,0.07567902443751015,0.3648973347832613
"frozenset({'Necessities Total_High', 'Non-Necessities Total_Low'})",frozenset({'NPCINC_Medium'}),0.04183208351712983,0.4141703760142225,0.020317867693253666,0.48570059114874586,1.1727072221410326,1.0,0.0029922579335056425,1.1390828258859835,0.15370191356354515,0.04663434988034608,0.12210071359631335,0.26737868880324545
frozenset({'NPCINC_Medium'}),"frozenset({'Necessities Total_High', 'Non-Necessities Total_Low'})",0.4141703760142225,0.04183208351712983,0.020317867693253666,0.049056786457745,1.1727072221410326,1.0,0.0029922579335056425,1.0075974073296168,0.2513909099997778,0.04663434988034608,0.007540121951833617,0.26737868880324545
"frozenset({'NPCINC_Low', 'Necessities Total_Low'})",frozenset({'Non-Necessities Total_Low'}),0.21548301720335244,0.3300049457967411,0.12792904786729226,0.5936850593964208,1.7990186721688932,1.0,0.056818586454981695,1.6489550032494102,0.5661335700938966,0.30637364748063267,0.39355531349890543,0.4906715154402713
"frozenset({'NPCINC_Low', 'Non-Necessities Total_Low'})",frozenset({'Necessities Total_Low'}),0.1777612917886407,0.33002499632407,0.12792904786729226,0.7196676316877845,2.1806458289635207,1.0,0.06926337819818418,2.389930951283358,0.6584708957932598,0.3367819125538841,0.5815778696606215,0.5536510255889255
"frozenset({'Non-Necessities Total_Low', 'Necessities Total_Low'})",frozenset({'NPCINC_Low'}),0.19120851211720202,0.37697664781917095,0.12792904786729226,0.6690551924219652,1.774792142411164,1.0,0.05584790393485811,1.8825596834116332,0.5397605485189858,0.2905786980811271,0.4688083417425742,0.5042052786448525
frozenset({'NPCINC_Low'}),"frozenset({'Non-Necessities Total_Low', 'Necessities Total_Low'})",0.37697664781917095,0.19120851211720202,0.12792904786729226,0.33935536486773993,1.7747921424111637,1.0,0.05584790393485811,1.2242459029745683,0.7007020452909096,0.2905786980811271,0.18317063788387183,0.5042052786448525
frozenset({'Necessities Total_Low'}),"frozenset({'NPCINC_Low', 'Non-Necessities Total_Low'})",0.33002499632407,0.1777612917886407,0.12792904786729226,0.38763441949006666,2.1806458289635207,1.0,0.06926337819818418,1.3427252190213876,0.8081200877364583,0.3367819125538841,0.25524598344192445,0.5536510255889255
