antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'NPCINC_Medium'}),frozenset({'Education (Total)_Low Spending'}),0.4141703760142225,0.38651401531860285,0.16736843512317706,0.4041052784456744,1.0455126138506805,1.0,0.007285780063904346,1.029520756755802,0.07430724715336197,0.26427320120728587,0.02867427058860562,0.41856281542591167
frozenset({'Education (Total)_Low Spending'}),frozenset({'NPCINC_Medium'}),0.38651401531860285,0.4141703760142225,0.16736843512317706,0.43302035240614895,1.0455126138506805,1.0,0.007285780063904346,1.0332463016475493,0.07095742648771268,0.26427320120728587,0.03217655034867963,0.41856281542591167
frozenset({'NPCINC_Low'}),frozenset({'House Rent/Rental Value_Low Spending'}),0.37697664781917095,0.3742029915386775,0.2288567189317079,0.6070846039287994,1.6223403277257107,1.0,0.08779092957755166,1.5927016724687497,0.6157177236995964,0.4381517830865887,0.37213602692464004,0.6093345111483466
frozenset({'House Rent/Rental Value_Low Spending'}),frozenset({'NPCINC_Low'}),0.3742029915386775,0.37697664781917095,0.2288567189317079,0.6115844183678937,1.622340327725711,1.0,0.08779092957755166,1.6040122529660383,0.6129887408053676,0.4381517830865887,0.3765633659276212,0.6093345111483466
"frozenset({'NPCINC_Low', 'Education (Total)_Low Spending'})",frozenset({'House Rent/Rental Value_Low Spending'}),0.08870353290291534,0.3742029915386775,0.05808637767173277,0.6548372513562387,1.7499519409602449,1.0,0.02489325029941234,1.8130490932762873,0.47027037947149913,0.1434868746904408,0.448442955180579,0.4050320854648632
"frozenset({'Education (Total)_Low Spending', 'House Rent/Rental Value_Low Spending'})",frozenset({'NPCINC_Low'}),0.13568191843445482,0.37697664781917095,0.05808637767173277,0.428106989803458,1.1356326506696865,1.0,0.006937462890637819,1.089405432611801,0.13818241554090765,0.12778251536448376,0.08206809874029693,0.2910959032415631
frozenset({'NPCINC_Low'}),"frozenset({'Education (Total)_Low Spending', 'House Rent/Rental Value_Low Spending'})",0.37697664781917095,0.13568191843445482,0.05808637767173277,0.1540848166796681,1.1356326506696863,1.0,0.006937462890637819,1.0217550158787543,0.19169997382657553,0.12778251536448376,0.02129181216697446,0.2910959032415631
frozenset({'House Rent/Rental Value_Low Spending'}),"frozenset({'NPCINC_Low', 'Education (Total)_Low Spending'})",0.3742029915386775,0.08870353290291534,0.05808637767173277,0.15522691957348764,1.7499519409602449,1.0,0.02489325029941234,1.0787470484227382,0.6848158901342359,0.1434868746904408,0.0729986223720159,0.4050320854648632
"frozenset({'NPCINC_Medium', 'House Rent/Rental Value_Low Spending'})",frozenset({'Education (Total)_Low Spending'}),0.12004919062704683,0.38651401531860285,0.05956343318495943,0.4961585569535686,1.2836754614049013,1.0,0.013162738479951176,1.2176171554527353,0.2511355158723124,0.1332515961184791,0.17872379218558293,0.3251313785615139
"frozenset({'Education (Total)_Low Spending', 'House Rent/Rental Value_Low Spending'})",frozenset({'NPCINC_Medium'}),0.13568191843445482,0.4141703760142225,0.05956343318495943,0.43899315304664793,1.0599337337240484,1.0,0.0033680020086302095,1.0442468343608102,0.06542127759911368,0.1214864091169334,0.04237200717768423,0.2914034977258607
frozenset({'NPCINC_Medium'}),"frozenset({'Education (Total)_Low Spending', 'House Rent/Rental Value_Low Spending'})",0.4141703760142225,0.13568191843445482,0.05956343318495943,0.1438138424050735,1.0599337337240484,1.0,0.0033680020086302095,1.0094978456477988,0.09652088394458808,0.1214864091169334,0.009408485306577497,0.2914034977258607
frozenset({'Education (Total)_Low Spending'}),"frozenset({'NPCINC_Medium', 'House Rent/Rental Value_Low Spending'})",0.38651401531860285,0.12004919062704683,0.05956343318495943,0.15410420016945928,1.283675461404901,1.0,0.013162738479951176,1.0402591070309541,0.36021507576721734,0.1332515961184791,0.038701037807647234,0.3251313785615139
frozenset({'Health (Total)_Medium Spending'}),frozenset({'House Rent/Rental Value_Low Spending'}),0.33056636056194943,0.3742029915386775,0.1310903476761439,0.39656287909421756,1.059753363979264,1.0,0.007391426651809321,1.0370542129095024,0.0842267463081788,0.22850818430710088,0.035730256382205186,0.3734408458590629
frozenset({'House Rent/Rental Value_Low Spending'}),frozenset({'Health (Total)_Medium Spending'}),0.3742029915386775,0.33056636056194943,0.1310903476761439,0.3503188126239083,1.0597533639792642,1.0,0.007391426651809321,1.0304033000274093,0.09009985116059302,0.22850818430710088,0.029506213757856354,0.3734408458590629
frozenset({'Health (Total)_Medium Spending'}),frozenset({'NPCINC_Medium'}),0.33056636056194943,0.4141703760142225,0.13732606167542205,0.4154266073594824,1.0030331269883406,1.0,0.00041526782382639293,1.0021489711318974,0.004517184035615002,0.22608437314319665,0.002144362957804898,0.3734978088355449
frozenset({'NPCINC_Medium'}),frozenset({'Health (Total)_Medium Spending'}),0.4141703760142225,0.33056636056194943,0.13732606167542205,0.3315690103116074,1.0030331269883406,1.0,0.00041526782382639293,1.0015000048847607,0.005161833449799435,0.22608437314319665,0.0014977582400843097,0.3734978088355449
frozenset({'Health (Total)_Medium Spending'}),frozenset({'NPCINC_Low'}),0.33056636056194943,0.37697664781917095,0.13948483511783027,0.4219571370804691,1.1193190334773058,1.0,0.014869036631403182,1.077815145115908,0.159238583566496,0.2455467444760807,0.07219711605327248,0.3959831781423905
frozenset({'NPCINC_Low'}),frozenset({'Health (Total)_Medium Spending'}),0.37697664781917095,0.33056636056194943,0.13948483511783027,0.3700092192043118,1.1193190334773058,1.0,0.014869036631403182,1.062608628323966,0.17110059223741525,0.2455467444760807,0.05891974397263972,0.3959831781423905
frozenset({'Education (Total)_High Spending'}),frozenset({'Health (Total)_Medium Spending'}),0.3368221250885565,0.33056636056194943,0.113044873080162,0.3356218747519644,1.0152934926028796,1.0,0.0017028090328961992,1.0076093929012602,0.022713551499222356,0.20392563478093126,0.007551927319127238,0.33879759325952447
frozenset({'Health (Total)_Medium Spending'}),frozenset({'Education (Total)_High Spending'}),0.33056636056194943,0.3368221250885565,0.113044873080162,0.3419733117670845,1.0152934926028794,1.0,0.0017028090328961992,1.007828233672955,0.022501296510271728,0.20392563478093126,0.007767428428181267,0.33879759325952447
"frozenset({'Health (Total)_Medium Spending', 'NPCINC_Low'})",frozenset({'House Rent/Rental Value_Low Spending'}),0.13948483511783027,0.3742029915386775,0.08352381334295758,0.5988021082894106,1.600206630703856,1.0,0.031328170767586316,1.5598212787039052,0.43587925001590283,0.19416736583698455,0.3589009114999861,0.41100333316379833
