support,itemsets
0.9574527810081405,frozenset({'Other Income NEC_Low'})
0.9556682840758712,frozenset({'Entrep. Activities_Low'})
0.8448222854927752,frozenset({'Livestocks_Low'})
0.7226276884415394,frozenset({'Farming_Low'})
0.6773602812420634,frozenset({'Logistics and Manufacturing_Low'})
0.49951878734410715,frozenset({'Family Size_Medium'})
0.4141703760142225,frozenset({'NPCINC_Medium'})
0.4225314459103608,frozenset({'Other Expenditure NEC_Low'})
0.9157008996003262,"frozenset({'Other Income NEC_Low', 'Entrep. Activities_Low'})"
0.8109235272887677,"frozenset({'Other Income NEC_Low', 'Livestocks_Low'})"
0.8050955073451765,"frozenset({'Entrep. Activities_Low', 'Livestocks_Low'})"
0.7734023071473446,"frozenset({'Other Income NEC_Low', 'Livestocks_Low', 'Entrep. Activities_Low'})"
0.6940957880525591,"frozenset({'Other Income NEC_Low', 'Farming_Low'})"
0.6860555265936827,"frozenset({'Entrep. Activities_Low', 'Farming_Low'})"
0.6425926668538049,"frozenset({'Livestocks_Low', 'Farming_Low'})"
0.6595554129740279,"frozenset({'Entrep. Activities_Low', 'Other Income NEC_Low', 'Farming_Low'})"
0.6182981112403256,"frozenset({'Other Income NEC_Low', 'Livestocks_Low', 'Farming_Low'})"
0.6086939086497974,"frozenset({'Entrep. Activities_Low', 'Livestocks_Low', 'Farming_Low'})"
0.5862506850596837,"frozenset({'Entrep. Activities_Low', 'Other Income NEC_Low', 'Livestocks_Low', 'Farming_Low'})"
0.6515218350242611,"frozenset({'Logistics and Manufacturing_Low', 'Entrep. Activities_Low'})"
0.651080723423026,"frozenset({'Logistics and Manufacturing_Low', 'Other Income NEC_Low'})"
0.5656855275293741,"frozenset({'Logistics and Manufacturing_Low', 'Livestocks_Low'})"
0.471588402774993,"frozenset({'Logistics and Manufacturing_Low', 'Farming_Low'})"
0.6266859151729024,"frozenset({'Logistics and Manufacturing_Low', 'Other Income NEC_Low', 'Entrep. Activities_Low'})"
0.5450334843806393,"frozenset({'Logistics and Manufacturing_Low', 'Other Income NEC_Low', 'Livestocks_Low'})"
0.542627421101175,"frozenset({'Logistics and Manufacturing_Low', 'Entrep. Activities_Low', 'Livestocks_Low'})"
0.5232051436286108,"frozenset({'Logistics and Manufacturing_Low', 'Other Income NEC_Low', 'Livestocks_Low', 'Entrep. Activities_Low'})"
0.4546457071820989,"frozenset({'Logistics and Manufacturing_Low', 'Other Income NEC_Low', 'Farming_Low'})"
0.4505553996070097,"frozenset({'Logistics and Manufacturing_Low', 'Entrep. Activities_Low', 'Farming_Low'})"
0.4160083410193688,"frozenset({'Logistics and Manufacturing_Low', 'Livestocks_Low', 'Farming_Low'})"
0.43474890056275145,"frozenset({'Entrep. Activities_Low', 'Logistics and Manufacturing_Low', 'Other Income NEC_Low', 'Farming_Low'})"
0.4018526687251875,"frozenset({'Logistics and Manufacturing_Low', 'Other Income NEC_Low', 'Livestocks_Low', 'Farming_Low'})"
0.4765208324978947,"frozenset({'Family Size_Medium', 'Other Income NEC_Low'})"
0.4171846386226624,"frozenset({'Family Size_Medium', 'Livestocks_Low'})"
0.4764673644250177,"frozenset({'Family Size_Medium', 'Entrep. Activities_Low'})"
0.4548863135100453,"frozenset({'Family Size_Medium', 'Other Income NEC_Low', 'Entrep. Activities_Low'})"
0.40721284303110505,"frozenset({'Other Expenditure NEC_Low', 'Other Income NEC_Low'})"
0.40536819451684913,"frozenset({'Other Expenditure NEC_Low', 'Entrep. Activities_Low'})"
