support,itemsets
0.3852909331515419,frozenset({'Family Size_Small'})
0.340003475424737,"frozenset({'Hhld, Food_High'})"
0.3299982622876315,frozenset({'Total Non-Food Expenditure_Medium'})
0.2088529761666065,frozenset({'NPCINC_High'})
0.49951878734410715,frozenset({'Family Size_Medium'})
0.4141703760142225,frozenset({'NPCINC_Medium'})
0.340003475424737,frozenset({'Total Non-Food Expenditure_High'})
0.32998489526941227,"frozenset({'Hhld, Food_Medium'})"
0.33001162930585076,"frozenset({'Hhld, Food_Low'})"
0.3299982622876315,frozenset({'Total Non-Food Expenditure_Low'})
0.37697664781917095,frozenset({'NPCINC_Low'})
0.11519027950435097,frozenset({'Family Size_Large'})
0.1715188942802529,"frozenset({'NPCINC_Medium', 'Family Size_Small'})"
0.06186256031866971,"frozenset({'Family Size_Small', 'Hhld, Food_High'})"
0.20583203004905695,"frozenset({'Family Size_Medium', 'Hhld, Food_High'})"
0.16541016695405755,"frozenset({'NPCINC_Medium', 'Hhld, Food_High'})"
0.08272179224980283,"frozenset({'Hhld, Food_High', 'NPCINC_Low'})"
0.12002245659060834,"frozenset({'NPCINC_Medium', 'Family Size_Medium', 'Hhld, Food_High'})"
0.03923888198259614,"frozenset({'Family Size_Medium', 'Hhld, Food_High', 'NPCINC_Low'})"
0.11570490970579193,"frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Small'})"
0.09868869551269198,"frozenset({'Total Non-Food Expenditure_Medium', 'Hhld, Food_High'})"
0.15147505046049378,"frozenset({'Total Non-Food Expenditure_Medium', 'NPCINC_Medium'})"
0.17283554557484862,"frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Medium'})"
0.1336902327197872,"frozenset({'Total Non-Food Expenditure_Medium', 'NPCINC_Low'})"
0.09174452954779377,"frozenset({'Total Non-Food Expenditure_Medium', 'Hhld, Food_Low'})"
0.06939487508521475,"frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Small', 'NPCINC_Medium'})"
0.05924930825680715,"frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Medium', 'Hhld, Food_High'})"
0.04726577642325327,"frozenset({'NPCINC_Medium', 'Total Non-Food Expenditure_Medium', 'Hhld, Food_High'})"
0.04334255657590461,"frozenset({'Total Non-Food Expenditure_Medium', 'Hhld, Food_High', 'NPCINC_Low'})"
0.03535576318990523,"frozenset({'NPCINC_Medium', 'Total Non-Food Expenditure_Medium', 'Family Size_Medium', 'Hhld, Food_High'})"
0.02200211198887864,"frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Medium', 'Hhld, Food_High', 'NPCINC_Low'})"
0.07826389167368435,"frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Medium', 'NPCINC_Medium'})"
0.0912833674192298,"frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Medium', 'NPCINC_Low'})"
0.055787250538022484,"frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Small', 'Hhld, Food_Low'})"
0.040709253986713184,"frozenset({'Total Non-Food Expenditure_Medium', 'Hhld, Food_Low', 'NPCINC_Medium'})"
0.033009851492427585,"frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Medium', 'Hhld, Food_Low'})"
0.029186884281723276,"frozenset({'Total Non-Food Expenditure_Medium', 'Hhld, Food_Low', 'NPCINC_Low'})"
0.03063720575851145,"frozenset({'Total Non-Food Expenditure_Medium', 'Hhld, Food_Low', 'Family Size_Small', 'NPCINC_Medium'})"
