support,itemsets
0.3852909331515419,frozenset({'Family Size_Small'})
0.340003475424737,"frozenset({'Hhld, Food_High'})"
0.3299982622876315,frozenset({'Total Non-Food Expenditure_Medium'})
0.2088529761666065,frozenset({'NPCINC_High'})
0.49951878734410715,frozenset({'Family Size_Medium'})
0.4141703760142225,frozenset({'NPCINC_Medium'})
0.340003475424737,frozenset({'Total Non-Food Expenditure_High'})
0.32998489526941227,"frozenset({'Hhld, Food_Medium'})"
0.33001162930585076,"frozenset({'Hhld, Food_Low'})"
0.3299982622876315,frozenset({'Total Non-Food Expenditure_Low'})
0.37697664781917095,frozenset({'NPCINC_Low'})
0.11519027950435097,frozenset({'Family Size_Large'})
0.1715188942802529,"frozenset({'NPCINC_Medium', 'Family Size_Small'})"
0.20583203004905695,"frozenset({'Family Size_Medium', 'Hhld, Food_High'})"
0.16541016695405755,"frozenset({'NPCINC_Medium', 'Hhld, Food_High'})"
0.08272179224980283,"frozenset({'Hhld, Food_High', 'NPCINC_Low'})"
0.12002245659060834,"frozenset({'NPCINC_Medium', 'Family Size_Medium', 'Hhld, Food_High'})"
0.11570490970579193,"frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Small'})"
0.09868869551269198,"frozenset({'Total Non-Food Expenditure_Medium', 'Hhld, Food_High'})"
0.15147505046049378,"frozenset({'Total Non-Food Expenditure_Medium', 'NPCINC_Medium'})"
0.17283554557484862,"frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Medium'})"
0.1336902327197872,"frozenset({'Total Non-Food Expenditure_Medium', 'NPCINC_Low'})"
0.09174452954779377,"frozenset({'Total Non-Food Expenditure_Medium', 'Hhld, Food_Low'})"
0.07826389167368435,"frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Medium', 'NPCINC_Medium'})"
0.0912833674192298,"frozenset({'Total Non-Food Expenditure_Medium', 'Family Size_Medium', 'NPCINC_Low'})"
0.15106735640480679,"frozenset({'Family Size_Small', 'NPCINC_High'})"
0.09187151622087661,"frozenset({'NPCINC_High', 'Hhld, Food_High'})"
0.14419670904011442,"frozenset({'Total Non-Food Expenditure_High', 'NPCINC_High'})"
0.08299581612329737,"frozenset({'Total Non-Food Expenditure_High', 'NPCINC_High', 'Hhld, Food_High'})"
0.08983304594244162,"frozenset({'Family Size_Small', 'Total Non-Food Expenditure_High', 'NPCINC_High'})"
0.2106241060806566,"frozenset({'NPCINC_Medium', 'Family Size_Medium'})"
0.21335766130649236,"frozenset({'Total Non-Food Expenditure_High', 'Hhld, Food_High'})"
0.1839435377150419,"frozenset({'Family Size_Medium', 'Total Non-Food Expenditure_High'})"
0.16509604202590528,"frozenset({'NPCINC_Medium', 'Total Non-Food Expenditure_High'})"
0.10929542446966355,"frozenset({'Family Size_Small', 'Total Non-Food Expenditure_High'})"
0.13017470692812555,"frozenset({'Family Size_Medium', 'Total Non-Food Expenditure_High', 'Hhld, Food_High'})"
0.11786368314820013,"frozenset({'NPCINC_Medium', 'Family Size_Medium', 'Total Non-Food Expenditure_High'})"
0.1111734905294676,"frozenset({'NPCINC_Medium', 'Total Non-Food Expenditure_High', 'Hhld, Food_High'})"
0.08080362513534106,"frozenset({'NPCINC_Medium', 'Family Size_Medium', 'Total Non-Food Expenditure_High', 'Hhld, Food_High'})"
0.13956503722714575,"frozenset({'Total Non-Food Expenditure_Medium', 'Hhld, Food_Medium'})"
0.12903182687038003,"frozenset({'NPCINC_Medium', 'Hhld, Food_Medium'})"
0.11303818957105238,"frozenset({'Hhld, Food_Medium', 'Family Size_Small'})"
