support,itemsets
0.3852909331515419,frozenset({'Family Size_Small'})
0.3399834248974081,frozenset({'Fish and Marine Products (Total)_High'})
0.3399834248974081,frozenset({'Meat and Meat Preparations_High'})
0.33992327331542155,frozenset({'Oils and Fats (Total)_High'})
0.33990322278809265,frozenset({'Vegetables (Total)_High'})
0.33003836334228925,frozenset({'Dairy Products and Eggs (Total)_Low'})
0.3299982622876315,frozenset({'Cereal and Cereal Preparations (Total)_Low'})
0.32969750437769846,"frozenset({'Sugar, Jam and Honey (Total)_Medium'})"
0.3296774538503696,frozenset({'Fruits and Vegetables_Medium'})
0.2088529761666065,frozenset({'NPCINC_High'})
0.49951878734410715,frozenset({'Family Size_Medium'})
0.4141703760142225,frozenset({'NPCINC_Medium'})
0.3399901084065178,frozenset({'Cereal and Cereal Preparations (Total)_High'})
0.3399433238427504,frozenset({'Dairy Products and Eggs (Total)_High'})
0.339649249441927,frozenset({'Fruits and Vegetables_High'})
0.3303725387977704,"frozenset({'Sugar, Jam and Honey (Total)_Low'})"
0.3306732967077034,frozenset({'Fruits and Vegetables_Low'})
0.33001831281496036,frozenset({'Dairy Products and Eggs (Total)_Medium'})
0.33001162930585076,frozenset({'Cereal and Cereal Preparations (Total)_Medium'})
0.32989800965098715,frozenset({'Oils and Fats (Total)_Medium'})
0.33992995682453114,"frozenset({'Sugar, Jam and Honey (Total)_High'})"
0.3301787170335913,frozenset({'Oils and Fats (Total)_Low'})
0.3297643394687947,frozenset({'Vegetables (Total)_Medium'})
0.3298779591236583,frozenset({'Meat and Meat Preparations_Medium'})
0.3297910735052332,frozenset({'Fish and Marine Products (Total)_Medium'})
0.37697664781917095,frozenset({'NPCINC_Low'})
0.11519027950435097,frozenset({'Family Size_Large'})
0.33033243774311266,frozenset({'Vegetables (Total)_Low'})
0.3302255015973587,frozenset({'Fish and Marine Products (Total)_Low'})
0.33013861597893357,frozenset({'Meat and Meat Preparations_Low'})
0.1715188942802529,"frozenset({'NPCINC_Medium', 'Family Size_Small'})"
0.08340351017898437,"frozenset({'Family Size_Small', 'Fish and Marine Products (Total)_High'})"
0.19618104289476146,"frozenset({'Family Size_Medium', 'Fish and Marine Products (Total)_High'})"
0.1764780580395931,"frozenset({'Cereal and Cereal Preparations (Total)_High', 'Fish and Marine Products (Total)_High'})"
0.15773749849621044,"frozenset({'NPCINC_Medium', 'Fish and Marine Products (Total)_High'})"
0.10463701862025639,"frozenset({'Fish and Marine Products (Total)_High', 'NPCINC_Low'})"
0.1093422090334309,"frozenset({'Cereal and Cereal Preparations (Total)_High', 'Family Size_Medium', 'Fish and Marine Products (Total)_High'})"
0.0996243867880392,"frozenset({'Family Size_Medium', 'Fish and Marine Products (Total)_High', 'NPCINC_Medium'})"
0.08151207710096109,"frozenset({'Cereal and Cereal Preparations (Total)_High', 'Fish and Marine Products (Total)_High', 'NPCINC_Medium'})"
0.05603454037507853,"frozenset({'Cereal and Cereal Preparations (Total)_High', 'Family Size_Medium', 'Fish and Marine Products (Total)_High', 'NPCINC_Medium'})"
0.0678108834262341,"frozenset({'Cereal and Cereal Preparations (Total)_High', 'Fish and Marine Products (Total)_High', 'NPCINC_Low'})"
0.06162863749983291,"frozenset({'Family Size_Medium', 'Fish and Marine Products (Total)_High', 'NPCINC_Low'})"
0.19963641710443653,"frozenset({'Meat and Meat Preparations_High', 'Fish and Marine Products (Total)_High'})"
0.08802849848284343,"frozenset({'Meat and Meat Preparations_High', 'Family Size_Small'})"
0.20049858977957788,"frozenset({'Family Size_Medium', 'Meat and Meat Preparations_High'})"
0.17377792035930545,"frozenset({'NPCINC_Medium', 'Meat and Meat Preparations_High'})"
0.15465640079667428,"frozenset({'Cereal and Cereal Preparations (Total)_High', 'Meat and Meat Preparations_High'})"
0.06626699282191122,"frozenset({'Meat and Meat Preparations_High', 'NPCINC_Low'})"
0.12016949379102004,"frozenset({'Family Size_Medium', 'Meat and Meat Preparations_High', 'Fish and Marine Products (Total)_High'})"
0.11800403683950221,"frozenset({'Family Size_Medium', 'Meat and Meat Preparations_High', 'NPCINC_Medium'})"
0.1040622368368288,"frozenset({'NPCINC_Medium', 'Meat and Meat Preparations_High', 'Fish and Marine Products (Total)_High'})"
0.07141997834543048,"frozenset({'Family Size_Medium', 'Meat and Meat Preparations_High', 'Fish and Marine Products (Total)_High', 'NPCINC_Medium'})"
