support,itemsets
0.8728729732258625,frozenset({'Other Non Alcoholic Beverages_Low'})
0.8116787638181551,frozenset({'Tea (total)  expenditure_Low'})
0.5988424162222133,frozenset({'Cocoa (total)  expenditure_Low'})
0.3852909331515419,frozenset({'Family Size_Small'})
0.3396626164601462,frozenset({'Softdrinks_High'})
0.33731002125355897,frozenset({'Main Source of Water Supply (2nd visit only)_Medium'})
0.3302789696702357,"frozenset({'Coffee, Cocoa and Tea (Total)_Medium'})"
0.3300584138696181,frozenset({'Food Not Elsewhere Classified (Total)_Medium'})
0.33002499632407,frozenset({'Fruit and vegetable juices_Low'})
0.2088529761666065,frozenset({'NPCINC_High'})
0.49951878734410715,frozenset({'Family Size_Medium'})
0.4141703760142225,frozenset({'NPCINC_Medium'})
0.3395356297870634,frozenset({'Cocoa (total)  expenditure_High'})
0.3394487441686383,frozenset({'Fruit and vegetable juices_High'})
0.33940195960487096,"frozenset({'Coffee, Cocoa and Tea (Total)_High'})"
0.3292964938311211,frozenset({'Main Source of Water Supply (2nd visit only)_High'})
0.3305262595072917,frozenset({'Fruit and vegetable juices_Medium'})
0.33007178088783734,frozenset({'Food Not Elsewhere Classified (Total)_Low'})
0.33986980524254456,frozenset({'Food Not Elsewhere Classified (Total)_High'})
0.33931507398644584,frozenset({'Softdrinks_Low'})
0.37697664781917095,frozenset({'NPCINC_Low'})
0.3303190707248934,"frozenset({'Coffee, Cocoa and Tea (Total)_Low'})"
0.11519027950435097,frozenset({'Family Size_Large'})
0.1883212361818449,frozenset({'Tea (total)  expenditure_High'})
0.32102230955340794,frozenset({'Softdrinks_Medium'})
0.33339348491531995,frozenset({'Main Source of Water Supply (2nd visit only)_Low'})
0.12712702677413748,frozenset({'Other Non Alcoholic Beverages_High'})
0.06162195399072329,frozenset({'Cocoa (total)  expenditure_Medium'})
0.7280279638021147,"frozenset({'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low'})"
0.548422023499218,"frozenset({'Cocoa (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low'})"
0.5279771691328815,"frozenset({'Cocoa (total)  expenditure_Low', 'Tea (total)  expenditure_Low'})"
0.4861718196521902,"frozenset({'Cocoa (total)  expenditure_Low', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low'})"
0.3433853310342062,"frozenset({'Family Size_Small', 'Other Non Alcoholic Beverages_Low'})"
0.31304219967651814,"frozenset({'Family Size_Small', 'Tea (total)  expenditure_Low'})"
0.269833313282806,"frozenset({'Cocoa (total)  expenditure_Low', 'Family Size_Small'})"
0.1715188942802529,"frozenset({'NPCINC_Medium', 'Family Size_Small'})"
0.2847308550881555,"frozenset({'Family Size_Small', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low'})"
0.248546336768657,"frozenset({'Cocoa (total)  expenditure_Low', 'Family Size_Small', 'Other Non Alcoholic Beverages_Low'})"
0.23462458729331248,"frozenset({'Cocoa (total)  expenditure_Low', 'Family Size_Small', 'Tea (total)  expenditure_Low'})"
0.21705364184411383,"frozenset({'Cocoa (total)  expenditure_Low', 'Family Size_Small', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low'})"
0.15294542246461082,"frozenset({'NPCINC_Medium', 'Family Size_Small', 'Other Non Alcoholic Beverages_Low'})"
0.1444840999318282,"frozenset({'NPCINC_Medium', 'Family Size_Small', 'Tea (total)  expenditure_Low'})"
0.11909344882437074,"frozenset({'NPCINC_Medium', 'Cocoa (total)  expenditure_Low', 'Family Size_Small'})"
0.13167181296868108,"frozenset({'NPCINC_Medium', 'Family Size_Small', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low'})"
0.11005066099905095,"frozenset({'NPCINC_Medium', 'Cocoa (total)  expenditure_Low', 'Family Size_Small', 'Other Non Alcoholic Beverages_Low'})"
0.10696956329951478,"frozenset({'NPCINC_Medium', 'Cocoa (total)  expenditure_Low', 'Family Size_Small', 'Tea (total)  expenditure_Low'})"
0.09933031238721578,"frozenset({'Cocoa (total)  expenditure_Low', 'NPCINC_Medium', 'Other Non Alcoholic Beverages_Low', 'Family Size_Small', 'Tea (total)  expenditure_Low'})"
0.28655545307508257,"frozenset({'Softdrinks_High', 'Other Non Alcoholic Beverages_Low'})"
0.26558260148908586,"frozenset({'Softdrinks_High', 'Tea (total)  expenditure_Low'})"
0.18062851719666895,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low'})"
0.09843472216652631,"frozenset({'Softdrinks_High', 'Family Size_Small'})"
0.19064041384288408,"frozenset({'Softdrinks_High', 'Family Size_Medium'})"
0.15886701153573674,"frozenset({'Softdrinks_High', 'NPCINC_Medium'})"
0.1605512558313617,"frozenset({'Softdrinks_High', 'Food Not Elsewhere Classified (Total)_High'})"
0.10021921909879564,"frozenset({'Softdrinks_High', 'NPCINC_Low'})"
0.23259948403309674,"frozenset({'Softdrinks_High', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low'})"
0.16186790712595742,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low'})"
0.1575837777866891,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'Tea (total)  expenditure_Low'})"
0.09588162168665036,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'Family Size_Medium'})"
0.14259266685380492,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low'})"
0.08641108927831469,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'Family Size_Medium', 'Other Non Alcoholic Beverages_Low'})"
0.08380452072556174,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'Family Size_Medium', 'Tea (total)  expenditure_Low'})"
0.07621205437703012,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low', 'Family Size_Medium', 'Tea (total)  expenditure_Low'})"
0.08391814038042533,"frozenset({'Softdrinks_High', 'Family Size_Small', 'Other Non Alcoholic Beverages_Low'})"
0.07785619761799735,"frozenset({'Softdrinks_High', 'Family Size_Small', 'Tea (total)  expenditure_Low'})"
0.061982863482642925,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'Family Size_Small'})"
0.06840571573699054,"frozenset({'Softdrinks_High', 'Family Size_Small', 'Tea (total)  expenditure_Low', 'Other Non Alcoholic Beverages_Low'})"
0.05533277191856813,"frozenset({'Softdrinks_High', 'Cocoa (total)  expenditure_Low', 'Family Size_Small', 'Other Non Alcoholic Beverages_Low'})"
