support,itemsets
0.3852909331515419,frozenset({'Family Size_Small'})
0.340003475424737,frozenset({'Total Food Consumed at Home (Total)_High'})
0.334863856919437,frozenset({'Food Regularly Consumed Outside The Home (Total)_High'})
0.2088529761666065,frozenset({'NPCINC_High'})
0.49951878734410715,frozenset({'Family Size_Medium'})
0.4141703760142225,frozenset({'NPCINC_Medium'})
0.32998489526941227,frozenset({'Total Food Consumed at Home (Total)_Medium'})
0.3351378807929315,frozenset({'Food Regularly Consumed Outside The Home (Total)_Medium'})
0.3299982622876315,frozenset({'Food Regularly Consumed Outside The Home (Total)_Low'})
0.37697664781917095,frozenset({'NPCINC_Low'})
0.11519027950435097,frozenset({'Family Size_Large'})
0.33001162930585076,frozenset({'Total Food Consumed at Home (Total)_Low'})
0.1715188942802529,"frozenset({'NPCINC_Medium', 'Family Size_Small'})"
0.05748486185186671,"frozenset({'Family Size_Small', 'Total Food Consumed at Home (Total)_High'})"
0.20620630655919583,"frozenset({'Family Size_Medium', 'Total Food Consumed at Home (Total)_High'})"
0.1631444573658954,"frozenset({'NPCINC_Medium', 'Total Food Consumed at Home (Total)_High'})"
0.09399018860862707,"frozenset({'Total Food Consumed at Home (Total)_High', 'NPCINC_Low'})"
0.11617275534346554,"frozenset({'NPCINC_Medium', 'Family Size_Medium', 'Total Food Consumed at Home (Total)_High'})"
0.16839769552605902,"frozenset({'Food Regularly Consumed Outside The Home (Total)_High', 'Total Food Consumed at Home (Total)_High'})"
0.10719680260924196,"frozenset({'Food Regularly Consumed Outside The Home (Total)_High', 'Family Size_Small'})"
0.18262020291133657,"frozenset({'Family Size_Medium', 'Food Regularly Consumed Outside The Home (Total)_High'})"
0.15466976781489353,"frozenset({'NPCINC_Medium', 'Food Regularly Consumed Outside The Home (Total)_High'})"
0.07258290893050487,"frozenset({'Food Regularly Consumed Outside The Home (Total)_High', 'NPCINC_Low'})"
0.10465706914758525,"frozenset({'Family Size_Medium', 'Food Regularly Consumed Outside The Home (Total)_High', 'Total Food Consumed at Home (Total)_High'})"
0.10015906751680903,"frozenset({'NPCINC_Medium', 'Food Regularly Consumed Outside The Home (Total)_High', 'Family Size_Medium'})"
0.08590314258598335,"frozenset({'NPCINC_Medium', 'Food Regularly Consumed Outside The Home (Total)_High', 'Total Food Consumed at Home (Total)_High'})"
0.06185587680956009,"frozenset({'NPCINC_Medium', 'Food Regularly Consumed Outside The Home (Total)_High', 'Family Size_Medium', 'Total Food Consumed at Home (Total)_High'})"
0.15106735640480679,"frozenset({'Family Size_Small', 'NPCINC_High'})"
0.10761118017403858,"frozenset({'Food Regularly Consumed Outside The Home (Total)_High', 'NPCINC_High'})"
0.08286882945021454,"frozenset({'Total Food Consumed at Home (Total)_High', 'NPCINC_High'})"
0.06169547259092914,"frozenset({'Food Regularly Consumed Outside The Home (Total)_Medium', 'NPCINC_High'})"
0.0583871355816658,"frozenset({'Total Food Consumed at Home (Total)_Medium', 'NPCINC_High'})"
0.05739797623344161,"frozenset({'Family Size_Medium', 'NPCINC_High'})"
0.06759701113472617,"frozenset({'Total Food Consumed at Home (Total)_Low', 'NPCINC_High'})"
0.06892034593843152,"frozenset({'Food Regularly Consumed Outside The Home (Total)_High', 'Family Size_Small', 'NPCINC_High'})"
0.052037801927524024,"frozenset({'Food Regularly Consumed Outside The Home (Total)_High', 'Total Food Consumed at Home (Total)_High', 'NPCINC_High'})"
0.06569889454759327,"frozenset({'Family Size_Small', 'Total Food Consumed at Home (Total)_Low', 'NPCINC_High'})"
0.2106241060806566,"frozenset({'NPCINC_Medium', 'Family Size_Medium'})"
0.13028832658298914,"frozenset({'NPCINC_Medium', 'Total Food Consumed at Home (Total)_Medium'})"
0.11026453329055888,"frozenset({'Family Size_Small', 'Total Food Consumed at Home (Total)_Medium'})"
0.10518506636724546,"frozenset({'Food Regularly Consumed Outside The Home (Total)_High', 'Total Food Consumed at Home (Total)_Medium'})"
0.12305008621726751,"frozenset({'Food Regularly Consumed Outside The Home (Total)_Medium', 'Total Food Consumed at Home (Total)_Medium'})"
0.10174974268489928,"frozenset({'Food Regularly Consumed Outside The Home (Total)_Low', 'Total Food Consumed at Home (Total)_Medium'})"
0.1894240151849327,"frozenset({'Family Size_Medium', 'Total Food Consumed at Home (Total)_Medium'})"
0.14130943310475733,"frozenset({'Total Food Consumed at Home (Total)_Medium', 'NPCINC_Low'})"
0.07336487949633075,"frozenset({'NPCINC_Medium', 'Family Size_Medium', 'Total Food Consumed at Home (Total)_Medium'})"
0.054169841333493736,"frozenset({'NPCINC_Medium', 'Family Size_Small', 'Total Food Consumed at Home (Total)_Medium'})"
0.061294462044351766,"frozenset({'Family Size_Medium', 'Food Regularly Consumed Outside The Home (Total)_High', 'Total Food Consumed at Home (Total)_Medium'})"
0.06972236703158627,"frozenset({'Family Size_Medium', 'Food Regularly Consumed Outside The Home (Total)_Medium', 'Total Food Consumed at Home (Total)_Medium'})"
0.056616005667615724,"frozenset({'Food Regularly Consumed Outside The Home (Total)_Medium', 'Total Food Consumed at Home (Total)_Medium', 'NPCINC_Low'})"
0.05840718610899467,"frozenset({'Family Size_Medium', 'Food Regularly Consumed Outside The Home (Total)_Low', 'Total Food Consumed at Home (Total)_Medium'})"
0.055813984574460976,"frozenset({'Food Regularly Consumed Outside The Home (Total)_Low', 'Total Food Consumed at Home (Total)_Medium', 'NPCINC_Low'})"
0.10410233789148654,"frozenset({'Family Size_Medium', 'Total Food Consumed at Home (Total)_Medium', 'NPCINC_Low'})"
0.12757482188448224,"frozenset({'Family Size_Small', 'Food Regularly Consumed Outside The Home (Total)_Medium'})"
0.17089732793305798,"frozenset({'Family Size_Medium', 'Food Regularly Consumed Outside The Home (Total)_Medium'})"
0.10719680260924196,"frozenset({'Food Regularly Consumed Outside The Home (Total)_Medium', 'Total Food Consumed at Home (Total)_High'})"
0.13524749034232933,"frozenset({'NPCINC_Medium', 'Food Regularly Consumed Outside The Home (Total)_Medium'})"
0.13819491785967306,"frozenset({'Food Regularly Consumed Outside The Home (Total)_Medium', 'NPCINC_Low'})"
0.05979735600379623,"frozenset({'NPCINC_Medium', 'Family Size_Small', 'Food Regularly Consumed Outside The Home (Total)_Medium'})"
0.06462284958094398,"frozenset({'Family Size_Medium', 'Food Regularly Consumed Outside The Home (Total)_Medium', 'Total Food Consumed at Home (Total)_High'})"
0.05053401237785887,"frozenset({'NPCINC_Medium', 'Food Regularly Consumed Outside The Home (Total)_Medium', 'Total Food Consumed at Home (Total)_High'})"
0.0676638462258224,"frozenset({'NPCINC_Medium', 'Food Regularly Consumed Outside The Home (Total)_Medium', 'Family Size_Medium'})"
0.08963254066915294,"frozenset({'Family Size_Medium', 'Food Regularly Consumed Outside The Home (Total)_Medium', 'NPCINC_Low'})"
0.1505193086578177,"frozenset({'Family Size_Small', 'Food Regularly Consumed Outside The Home (Total)_Low'})"
0.06440897728943605,"frozenset({'Food Regularly Consumed Outside The Home (Total)_Low', 'Total Food Consumed at Home (Total)_High'})"
0.12425311785699963,"frozenset({'NPCINC_Medium', 'Food Regularly Consumed Outside The Home (Total)_Low'})"
0.16383954231329617,"frozenset({'Food Regularly Consumed Outside The Home (Total)_Low', 'Total Food Consumed at Home (Total)_Low'})"
0.1460012564997126,"frozenset({'Family Size_Medium', 'Food Regularly Consumed Outside The Home (Total)_Low'})"
0.16619882102899305,"frozenset({'Food Regularly Consumed Outside The Home (Total)_Low', 'NPCINC_Low'})"
0.10841320126719332,"frozenset({'Family Size_Small', 'Total Food Consumed at Home (Total)_Low', 'Food Regularly Consumed Outside The Home (Total)_Low'})"
0.0772880993436794,"frozenset({'NPCINC_Medium', 'Family Size_Small', 'Food Regularly Consumed Outside The Home (Total)_Low'})"
0.06162863749983291,"frozenset({'NPCINC_Medium', 'Food Regularly Consumed Outside The Home (Total)_Low', 'Total Food Consumed at Home (Total)_Low'})"
0.053722046223149,"frozenset({'NPCINC_Medium', 'Family Size_Small', 'Total Food Consumed at Home (Total)_Low', 'Food Regularly Consumed Outside The Home (Total)_Low'})"
0.08173931641068827,"frozenset({'Food Regularly Consumed Outside The Home (Total)_Low', 'Total Food Consumed at Home (Total)_Low', 'NPCINC_Low'})"
0.09783320634666025,"frozenset({'Family Size_Medium', 'Food Regularly Consumed Outside The Home (Total)_Low', 'NPCINC_Low'})"
0.05066768256005133,"frozenset({'Family Size_Medium', 'Food Regularly Consumed Outside The Home (Total)_Low', 'Total Food Consumed at Home (Total)_Low'})"
0.23149670503000896,"frozenset({'Family Size_Medium', 'NPCINC_Low'})"
0.0627046824664822,"frozenset({'Family Size_Small', 'NPCINC_Low'})"
0.08277526032267982,"frozenset({'Family Size_Large', 'NPCINC_Low'})"
0.07631230701367446,"frozenset({'Family Size_Large', 'Total Food Consumed at Home (Total)_High'})"
0.2175415380091163,"frozenset({'Family Size_Small', 'Total Food Consumed at Home (Total)_Low'})"
0.10489099196642206,"frozenset({'Food Regularly Consumed Outside The Home (Total)_Medium', 'Total Food Consumed at Home (Total)_Low'})"
0.12073759206533799,"frozenset({'NPCINC_Medium', 'Total Food Consumed at Home (Total)_Low'})"
0.06128109502613252,"frozenset({'Food Regularly Consumed Outside The Home (Total)_High', 'Total Food Consumed at Home (Total)_Low'})"
0.14167702610578659,"frozenset({'Total Food Consumed at Home (Total)_Low', 'NPCINC_Low'})"
0.10388846559997861,"frozenset({'Family Size_Medium', 'Total Food Consumed at Home (Total)_Low'})"
0.0657657296386895,"frozenset({'Family Size_Small', 'Total Food Consumed at Home (Total)_Low', 'Food Regularly Consumed Outside The Home (Total)_Medium'})"
0.09923674325968106,"frozenset({'NPCINC_Medium', 'Family Size_Small', 'Total Food Consumed at Home (Total)_Low'})"
0.05260590020184198,"frozenset({'Family Size_Small', 'Total Food Consumed at Home (Total)_Low', 'NPCINC_Low'})"
0.08091056128109503,"frozenset({'Family Size_Medium', 'Total Food Consumed at Home (Total)_Low', 'NPCINC_Low'})"
