support,itemsets
0.38651401531860285,frozenset({'Education (Total)_Low Spending'})
0.3742029915386775,frozenset({'House Rent/Rental Value_Low Spending'})
0.33056636056194943,frozenset({'Health (Total)_Medium Spending'})
0.3300584138696181,frozenset({'Transportation (Total)_Medium Spending'})
0.3299782117603026,frozenset({'Communication (Total)_Medium Spending'})
0.3299314271965353,frozenset({'Housing and water (Total)_Medium Spending'})
0.2088529761666065,frozenset({'NPCINC_High'})
0.4141703760142225,frozenset({'NPCINC_Medium'})
0.3399901084065178,frozenset({'Communication (Total)_High Spending'})
0.33992995682453114,frozenset({'Transportation (Total)_High Spending'})
0.303899159214554,frozenset({'House Rent/Rental Value_Medium Spending'})
0.2766638595928406,frozenset({'Education (Total)_Medium Spending'})
0.33928165644089775,frozenset({'Health (Total)_High Spending'})
0.340003475424737,frozenset({'Housing and water (Total)_High Spending'})
0.3368221250885565,frozenset({'Education (Total)_High Spending'})
0.3301519829971528,frozenset({'Health (Total)_Low Spending'})
0.33006509737872775,frozenset({'Housing and water (Total)_Low Spending'})
0.3300316798331796,frozenset({'Communication (Total)_Low Spending'})
0.33001162930585076,frozenset({'Transportation (Total)_Low Spending'})
0.37697664781917095,frozenset({'NPCINC_Low'})
0.3218978492467685,frozenset({'House Rent/Rental Value_High Spending'})
0.16736843512317706,"frozenset({'NPCINC_Medium', 'Education (Total)_Low Spending'})"
0.13568191843445482,"frozenset({'Education (Total)_Low Spending', 'House Rent/Rental Value_Low Spending'})"
0.12004919062704683,"frozenset({'NPCINC_Medium', 'House Rent/Rental Value_Low Spending'})"
0.2288567189317079,"frozenset({'NPCINC_Low', 'House Rent/Rental Value_Low Spending'})"
0.05808637767173277,"frozenset({'NPCINC_Low', 'Education (Total)_Low Spending', 'House Rent/Rental Value_Low Spending'})"
0.05956343318495943,"frozenset({'NPCINC_Medium', 'Education (Total)_Low Spending', 'House Rent/Rental Value_Low Spending'})"
0.1310903476761439,"frozenset({'Health (Total)_Medium Spending', 'House Rent/Rental Value_Low Spending'})"
0.11798398631217334,"frozenset({'Health (Total)_Medium Spending', 'Education (Total)_Low Spending'})"
0.13732606167542205,"frozenset({'Health (Total)_Medium Spending', 'NPCINC_Medium'})"
0.10604723904238682,"frozenset({'Health (Total)_Medium Spending', 'Transportation (Total)_High Spending'})"
0.09908970605926935,"frozenset({'Health (Total)_Medium Spending', 'Communication (Total)_High Spending'})"
0.09655665610672227,"frozenset({'Health (Total)_Medium Spending', 'Housing and water (Total)_High Spending'})"
0.13948483511783027,"frozenset({'Health (Total)_Medium Spending', 'NPCINC_Low'})"
0.113044873080162,"frozenset({'Education (Total)_High Spending', 'Health (Total)_Medium Spending'})"
0.08352381334295758,"frozenset({'Health (Total)_Medium Spending', 'NPCINC_Low', 'House Rent/Rental Value_Low Spending'})"
0.05408963922417826,"frozenset({'Health (Total)_Medium Spending', 'NPCINC_Medium', 'Education (Total)_Low Spending'})"
0.05205116894574327,"frozenset({'Health (Total)_Medium Spending', 'NPCINC_Medium', 'Transportation (Total)_High Spending'})"
0.05595433826576306,"frozenset({'Health (Total)_Medium Spending', 'Communication (Total)_High Spending', 'Transportation (Total)_High Spending'})"
0.05085482081512077,"frozenset({'Health (Total)_Medium Spending', 'NPCINC_Medium', 'Communication (Total)_High Spending'})"
0.060412238841881544,"frozenset({'Health (Total)_Medium Spending', 'Communication (Total)_High Spending', 'Housing and water (Total)_High Spending'})"
0.05036024114100868,"frozenset({'Health (Total)_Medium Spending', 'Transportation (Total)_High Spending', 'Housing and water (Total)_High Spending'})"
0.05069441659648982,"frozenset({'Health (Total)_Medium Spending', 'NPCINC_Medium', 'Housing and water (Total)_High Spending'})"
0.05231182580101857,"frozenset({'Education (Total)_High Spending', 'Health (Total)_Medium Spending', 'NPCINC_Low'})"
0.12534252984186817,"frozenset({'Transportation (Total)_Medium Spending', 'House Rent/Rental Value_Low Spending'})"
0.11686784029086632,"frozenset({'Health (Total)_Medium Spending', 'Transportation (Total)_Medium Spending'})"
0.1130716071166005,"frozenset({'Transportation (Total)_Medium Spending', 'Education (Total)_Low Spending'})"
0.13765355362179357,"frozenset({'Transportation (Total)_Medium Spending', 'NPCINC_Medium'})"
0.10402213578217107,"frozenset({'Health (Total)_High Spending', 'Transportation (Total)_Medium Spending'})"
0.10025263664434375,"frozenset({'Transportation (Total)_Medium Spending', 'Communication (Total)_High Spending'})"
0.11785031612998088,"frozenset({'Education (Total)_High Spending', 'Transportation (Total)_Medium Spending'})"
0.10916843779658071,"frozenset({'Health (Total)_Low Spending', 'Transportation (Total)_Medium Spending'})"
0.10080068439133283,"frozenset({'Transportation (Total)_Medium Spending', 'Housing and water (Total)_High Spending'})"
