support,itemsets
0.947307214179733,frozenset({'Imputed House Rental Value'})
0.8708211359292083,frozenset({'Total Received as Gifts'})
0.6798465466308431,"frozenset({'Cash Receipts, Support, etc. from Domestic Source'})"
0.6240793466201494,frozenset({'Salaries/Wages from Regular Employment'})
0.5956944834315809,frozenset({'Family Sustenance Activities'})
0.3299982622876315,frozenset({'Total Household Disbursements_Medium'})
0.24627394367138522,"frozenset({'Cash Receipts, Support, etc. from Abroad'})"
0.5872665784443464,"frozenset({'Hhld, Income from Entrepreneurial Activities, Total'})"
0.340003475424737,frozenset({'Total Household Disbursements_High'})
0.07004985897795779,"frozenset({'Net Share of Crops, Fruits, etc. (Tot. Net Value of Share)'})"
0.26925853149937845,frozenset({'Other Receipts'})
0.09400355562684631,frozenset({'Pension and Retirement Benefits'})
0.408950555399607,frozenset({'Salaries/Wages from Seasonal Employment'})
0.3299982622876315,frozenset({'Total Household Disbursements_Low'})
0.8321303016936012,"frozenset({'Total Received as Gifts', 'Imputed House Rental Value'})"
0.6545962492146877,"frozenset({'Cash Receipts, Support, etc. from Domestic Source', 'Imputed House Rental Value'})"
0.6223349507425379,"frozenset({'Total Received as Gifts', 'Cash Receipts, Support, etc. from Domestic Source'})"
0.6022911069227788,"frozenset({'Total Received as Gifts', 'Imputed House Rental Value', 'Cash Receipts, Support, etc. from Domestic Source'})"
0.5793198861130048,"frozenset({'Salaries/Wages from Regular Employment', 'Imputed House Rental Value'})"
0.532735827618933,"frozenset({'Salaries/Wages from Regular Employment', 'Total Received as Gifts'})"
0.3923153012257556,"frozenset({'Salaries/Wages from Regular Employment', 'Cash Receipts, Support, etc. from Domestic Source'})"
0.5002606568552753,"frozenset({'Salaries/Wages from Regular Employment', 'Total Received as Gifts', 'Imputed House Rental Value'})"
0.3720776356418174,"frozenset({'Salaries/Wages from Regular Employment', 'Cash Receipts, Support, etc. from Domestic Source', 'Imputed House Rental Value'})"
0.35375145366323135,"frozenset({'Salaries/Wages from Regular Employment', 'Total Received as Gifts', 'Cash Receipts, Support, etc. from Domestic Source'})"
0.3378714360187673,"frozenset({'Salaries/Wages from Regular Employment', 'Total Received as Gifts', 'Imputed House Rental Value', 'Cash Receipts, Support, etc. from Domestic Source'})"
0.5884027749929823,"frozenset({'Imputed House Rental Value', 'Family Sustenance Activities'})"
0.5573979762334416,"frozenset({'Total Received as Gifts', 'Family Sustenance Activities'})"
0.45749956557190785,"frozenset({'Cash Receipts, Support, etc. from Domestic Source', 'Family Sustenance Activities'})"
0.3325179452219593,"frozenset({'Salaries/Wages from Regular Employment', 'Family Sustenance Activities'})"
0.5508347702877919,"frozenset({'Total Received as Gifts', 'Imputed House Rental Value', 'Family Sustenance Activities'})"
0.4531887021962011,"frozenset({'Cash Receipts, Support, etc. from Domestic Source', 'Imputed House Rental Value', 'Family Sustenance Activities'})"
0.4371215462966676,"frozenset({'Total Received as Gifts', 'Cash Receipts, Support, etc. from Domestic Source', 'Family Sustenance Activities'})"
0.4331314913582227,"frozenset({'Total Received as Gifts', 'Imputed House Rental Value', 'Cash Receipts, Support, etc. from Domestic Source', 'Family Sustenance Activities'})"
0.3270174172247397,"frozenset({'Salaries/Wages from Regular Employment', 'Imputed House Rental Value', 'Family Sustenance Activities'})"
